"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06fuw*","Djordje Petrovic","BOU","G","73","FA","MCI Tue 2:30PM","299.91","8.33","59%","-1%"
"*05raa*","Hugo Bueno","WOL","D","77","W <small>(Thu)</small>","FUL Sun 10:00AM","299.48","9.08","54%","-1%"
"*06cmu*","Bart Verbruggen","BHA","G","78","W <small>(Thu)</small>","@LEE Sun 10:00AM","296.17","8.23","66%","0%"
"*04mr4*","Martin Dubravka","BUR","G","94","FA","@ARS Mon 3:00PM","276.97","7.91","29%","-2%"
"*06zbz*","Hugo Ekitike","LIV","F","95","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","272.75","9.74","45%","-1%"
"*05os8*","Joachim Andersen","FUL","D","99","FA","@WOL Sun 10:00AM","269.2","8.16","50%","-1%"
"*04tm0*","Lucas Digne","AVL","D","106","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","258.61","8.34","60%","-3%"
"*05uoc*","Cristian Romero","TOT","D","110","FA","@CHE Tue 3:15PM","252.8","10.99","49%","-2%"
"*03yqz*","Joe Rodon","LEE","D","118","FA","BHA Sun 10:00AM","243.54","7.38","25%","-7%"
"*06mw0*","Nikola Milenkovic","NOT","D","121","FA","@MUN Sun 7:30AM","242.45","6.73","53%","-2%"
"*04e1c*","Lewis Dunk","BHA","D","122","FA","@LEE Sun 10:00AM","241.21","7.78","31%","+4%"
"*05omu*","Ruben Dias","MCI","D","125","FA","@BOU Tue 2:30PM","237.43","9.5","73%","0%"
"*02lm7*","Jack Grealish","EVE","M","126","FA","SUN Sun 10:00AM","237.31","11.87","33%","-1%"
"*062dt*","Joao Palhinha","TOT","M","129","W <small>(Thu)</small>","@CHE Tue 3:15PM","236.33","7.62","41%","0%"
"*05o8o*","Jayden Bogle","LEE","D","131","FA","BHA Sun 10:00AM","235.7","7.14","32%","-8%"
"*044ei*","Nick Pope","NEW","G","132","FA","WHU Sun 12:30PM","235.69","9.43","69%","+4%"
"*070cj*","Noah Okafor","LEE","F","135","FA","BHA Sun 10:00AM","233.25","8.33","45%","-19%"
"*070fa*","Xavi Simons","TOT","M","148","FA","@CHE Tue 3:15PM","223.63","7.99","31%","-4%"
"*06cmb*","Guglielmo Vicario","TOT","G","152","FA","@CHE Tue 3:15PM","221.94","7.16","34%","-1%"
"*06mpp*","Mats Wieffer","BHA","M","153","FA","@LEE Sun 10:00AM","221.7","8.87","47%","-7%"
"*070gu*","Alex Jimenez","BOU","D","155","FA","MCI Tue 2:30PM","220.98","7.13","13%","-11%"
