"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","CoS","AER","AC","HCS","Sm","OG","SOT"
"*070hl*","G","Senne Lammens","MUN","G","Act","NOT Sun 7:30AM","223.44","7.45","30","30","2,700","630","37","75","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","25","0","7","0","26","3","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*06r9w*","D","Abdukodir Khusanov","MCI","D","Act","@BOU Tue 2:30PM","151.9","7.59","20","14","1,333","0","0","0","6","0","1","0","19","2","2","6","2","0","1","31","6","0","54","7","9","15","0","0","0","12","509"
"*066sd*","D","Myles Lewis-Skelly","ARS","D","Act","BUR Mon 3:00PM","50.86","2.83","18","4","582","0","0","0","4","0","0","0","5","1","7","11","3","0","0","4","0","0","11","8","1","5","0","0","0","7","302"
"*06p4j*","D","Noussair Mazraoui","MUN","D","Act","NOT Sun 7:30AM","102.67","5.4","19","10","896","0","0","1","5","0","0","0","16","0","3","13","3","0","4","13","1","1","51","7","2","18","0","0","0","10","194"
"*05opj*","M","Elliot Anderson","NOT","M","Act","@MUN Sun 7:30AM","429.44","11.93","36","35","3,176","4","2","1","49","1","10","0","60","0","58","76","7","0","22","36","6","1","46","47","14","65","0","0","0","46","805"
"*05gcr*","M","Bruno Fernandes","MUN","M","Act","NOT Sun 7:30AM","614.47","18.62","33","33","2,881","8","19","1","124","2","22","4","29","0","28","35","5","0","30","19","0","0","42","15","5","21","2","0","0","44","538"
"*06uzo*","M","Zian Flemming","BUR","M","Act","@ARS Mon 3:00PM","212.61","7.87","27","19","1,581","10","0","0","9","0","20","0","8","0","16","25","4","0","1","7","0","0","32","4","5","59","0","0","0","33","168"
"*067x8*","M","Nico O'Reilly","MCI","M","Act","@BOU Tue 2:30PM","292.5","8.86","33","28","2,548","5","3","0","23","1","14","0","36","0","33","18","5","0","9","20","1","1","68","23","11","46","0","0","0","24","1,194"
"*05t6x*","F","William Osula","NEW","F","Act","WHU Sun 12:30PM","98.5","4.48","22","6","644","5","0","0","6","1","10","0","3","0","13","13","0","0","2","1","0","0","0","5","1","9","0","0","0","12","121"
"*04io4*","F","Richarlison","TOT","F","Act","@CHE Tue 3:15PM","269.5","8.98","30","18","1,776","10","4","0","18","0","24","1","15","0","28","30","5","0","0","5","0","0","48","10","2","61","0","0","0","25","512"
"*070hj*","F","Kevin Santos Lopes de Macedo","FUL","F","Act","@WOL Sun 10:00AM","143.75","5.99","24","8","911","1","1","0","13","1","10","0","11","0","21","16","1","0","11","9","0","0","7","40","0","7","0","1","0","15","292"
"*06zbm*","D","Cristhian Mosquera","ARS","D","Res","BUR Mon 3:00PM","89.64","4.98","18","7","801","0","0","0","4","0","0","0","17","3","1","5","4","0","0","8","0","1","38","0","6","14","0","0","0","7","370"
"*04abb*","M","Phil Foden","MCI","M","Res","@BOU Tue 2:30PM","304.47","9.82","31","22","1,947","7","5","1","51","0","19","0","16","0","29","31","4","0","4","9","0","0","12","22","3","6","0","0","0","17","921"
"*0414o*","M","James Maddison","TOT","M","Res","@CHE Tue 3:15PM","0","0","1","0","5","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072jf*","F","Valentin Castellanos","WHU","F","Res","@NEW Sun 12:30PM","122.75","7.67","16","16","1,231","4","0","0","12","1","16","2","7","0","9","12","6","0","2","4","0","0","20","2","2","21","0","0","0","15","419"
"*05ocl*","F","Ollie Watkins","AVL","F","Res","LIV 2<br/>@AVL 4 F","324","9","36","32","2,739","14","3","0","23","1","36","2","13","0","43","31","4","0","2","6","0","0","15","23","1","33","0","0","0","37","711"
"*03frx*","D","Ola Aina","NOT","D","IR","@MUN Sun 7:30AM","175.21","9.73","18","18","1,587","0","0","1","9","2","1","1","21","0","15","15","3","0","7","25","4","0","71","15","3","25","0","0","0","19","540"

