"Standings"
"Rk","Team","W","D","L","Points","Win%","Div","FPtsF","FPtsA","Streak"
"1","3-Tonali Vision","27","0","9","81",".750","27-9-0","3,997.134","2,935.459","2 (W)"
"2","3 - Bags","27","0","9","81",".750","27-9-0","3,952.3","3,076.64","10 (W)"
"3","1-Floetry in Motion","26","0","10","78",".722","26-10-0","4,537.417","3,823.479","1 (L)"
"4","1-Daam Daniel","26","0","10","78",".722","26-10-0","4,367.433","3,942.814","3 (W)"
"5","2-Young Munoz $$","26","0","10","78",".722","26-10-0","3,749.599","3,100.915","7 (W)"
"6","3-Bench Warmers FC","25","0","11","75",".694","25-11-0","3,916.535","3,048.815","1 (W)"
"7","3 -Haaland Dazs FC","24","0","12","72",".667","24-12-0","4,007.571","3,366.707","1 (W)"
"8","2-Diego Luna Fan Page","23","0","13","69",".639","23-13-0","4,142.169","3,588.171","4 (W)"
"9","2-Reckless Abandon","23","0","13","69",".639","23-13-0","4,098.895","3,510.006","4 (L)"
"10","1- Black Friday @ Nordi’s","22","0","14","66",".611","22-14-0","4,066.566","3,942.662","4 (W)"
"11","1-The Gyök Gyök 3000","22","0","14","66",".611","22-14-0","3,814.447","3,687.19","3 (W)"
"12","3-ekitiké's etiquette","20","0","16","60",".556","20-16-0","3,832.63","3,432.123","4 (W)"
"13","2-Benteke Fried Chicken","20","0","16","60",".556","20-16-0","3,757.363","3,338.774","6 (W)"
"14","2-Greek Prison XI","20","0","16","60",".556","20-16-0","3,685.251","3,399.261","1 (L)"
"15","2-100 Virgils","20","0","16","60",".556","20-16-0","3,642.768","3,537.703","1 (W)"
"16","1-What The Hecke","19","0","17","57",".528","19-17-0","3,949.934","3,908.75","1 (W)"
"17","3 -The Darwizard","18","1","17","55",".514","18-17-1","2,916.291","3,215.698","3 (Wnl)"
"18","1 - Absolute Ekitekkers","18","0","18","54",".500","18-18-0","4,069.866","3,852.747","1 (L)"
"19","1-Rainy Night at Stoke","18","0","18","54",".500","18-18-0","3,938.742","3,713.908","4 (L)"
"20","2-FC Bofa","18","0","18","54",".500","18-18-0","3,744.76","3,699.392","1 (L)"
"21","3 -Vote for Pedro","18","0","18","54",".500","18-18-0","3,467.427","3,514.906","1 (L)"
"22","3-William's Team","18","0","18","54",".500","18-18-0","3,244.709","3,322.283","1 (W)"
"23","1-Dr. Dioufenshmirtz","17","0","19","51",".472","17-19-0","4,041.359","3,801.384","1 (W)"
"24","1-DeezRut(ter)z","17","0","19","51",".472","17-19-0","3,517.93","3,785.262","1 (W)"
"25","2-Eze like SuNdiaye morning","17","0","19","51",".472","17-19-0","3,439.623","3,518.362","3 (L)"
"26","1 - Bruno’s Big Bean Burritos","16","0","20","48",".444","16-20-0","3,745.376","3,867.227","1 (L)"
"27","3- Deanooo","15","0","21","45",".417","15-21-0","3,414.829","3,510.849","1 (L)"
"28","3-Kelly’s Seagulls","14","0","22","42",".389","14-22-0","3,331.286","3,445.726","3 (L)"
"29","2-Wild Boars United","14","0","22","42",".389","14-22-0","2,815.702","3,526.448","6 (L)"
"30","2-Roy Kent's U8 Girls","14","0","22","42",".389","14-22-0","2,629.518","3,342.841","1 (W)"
"31","2-Lads FC","11","0","25","33",".306","11-25-0","3,093.775","3,548.775","1 (L)"
"32","1 - Moises parts the Red Seamen","10","0","26","30",".278","10-26-0","3,291.753","4,010.144","9 (L)"
"33","2-john lim","10","0","26","30",".278","10-26-0","2,838.313","3,527.088","1 (W)"
"34","3 -Ben’s team","7","1","28","22",".208","7-28-1","2,044.521","3,691.566","14 (Wnl)"
"35","1-Diamond Dogs","5","0","31","15",".139","5-31-0","2,900.649","3,905.905","3 (L)"
"36","3-Get Tae VAR","1","2","33","5",".056","1-33-2","2,064.604","3,629.065","19 (Wnl)"

"Gameweek 37"
"Away","FPts","Home","FPts"
"2-Greek Prison XI","0","2-Young Munoz $$","0"
"2-100 Virgils","31.75","2-Eze like SuNdiaye morning","35.25"
"2-Benteke Fried Chicken","8","2-john lim","0.5"
"2-FC Bofa","0","2-Lads FC","0"
"2-Roy Kent's U8 Girls","14.75","2-Reckless Abandon","40"
"2-Wild Boars United","0","2-Diego Luna Fan Page","29.75"
"1-Floetry in Motion","0","1-Rainy Night at Stoke","0"
"1 - Bruno’s Big Bean Burritos","0","1-Dr. Dioufenshmirtz","7.25"
"1-DeezRut(ter)z","0","1-Daam Daniel","60"
"1-The Gyök Gyök 3000","20.25","1- Black Friday @ Nordi’s","40.25"
"1-What The Hecke","0","1-Diamond Dogs","0"
"1 - Absolute Ekitekkers","28","1 - Moises parts the Red Seamen","0"
"3 -Haaland Dazs FC","0","3-Bench Warmers FC","67"
"3-William's Team","0","3 -The Darwizard","0"
"3-Kelly’s Seagulls","27.75","3 -Vote for Pedro","10.75"
"3- Deanooo","0","3-Get Tae VAR","0"
"3 -Ben’s team","21.75","3-Tonali Vision","28.25"
"3-ekitiké's etiquette","0","3 - Bags","0"

"Gameweek 36"
"Away","FPts","Home","FPts"
"2-Young Munoz $$","112.982","2-Eze like SuNdiaye morning","92.718"
"2-john lim","83.32","2-Greek Prison XI","78.606"
"2-Lads FC","88.797","2-100 Virgils","98.367"
"2-Reckless Abandon","125.696","2-Benteke Fried Chicken","129.754"
"2-Diego Luna Fan Page","137.412","2-FC Bofa","98.27"
"2-Wild Boars United","0","2-Roy Kent's U8 Girls","55.5"
"1-Rainy Night at Stoke","96.897","1-Dr. Dioufenshmirtz","134.991"
"1-Daam Daniel","138.328","1-Floetry in Motion","137.828"
"1- Black Friday @ Nordi’s","153.112","1 - Bruno’s Big Bean Burritos","104.734"
"1-Diamond Dogs","47.243","1-DeezRut(ter)z","69.104"
"1 - Moises parts the Red Seamen","74.742","1-The Gyök Gyök 3000","131.1"
"1 - Absolute Ekitekkers","131.522","1-What The Hecke","136.454"
"3-Bench Warmers FC","124.864","3 -The Darwizard","0"
"3 -Vote for Pedro","78.888","3 -Haaland Dazs FC","150.049"
"3-Get Tae VAR","0","3-William's Team","75.595"
"3-Tonali Vision","124.498","3-Kelly’s Seagulls","74.485"
"3 - Bags","97.621","3- Deanooo","75.86"
"3-ekitiké's etiquette","132.732","3 -Ben’s team","87.499"

