"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","CS","GA","Sv","YC","PKS","KP","Int","CLR","AER"
"*04sjt*","Alisson","LIV","G","1","Blake R","WOL 0<br/>@LIV 2 F","293","7.71","56%","-2%","38","21","22","76","1","0","0","1","32","11"
"*02lym*","Lukasz Fabianski","WHU","G","2","Noah B","WHU 4<br/>@WAT 1 F","279.75","7.36","0%","0%","38","7","55","148","0","1","2","1","27","10"
"*02lsh*","Neil Etheridge","CAR","G","3","Connor L","CAR 2<br/>@MUN 0 F","273.25","7.19","0%","0%","38","10","69","141","2","3","2","5","29","7"
"*02w72*","Hugo Lloris","TOT","G","4","Willy B","EVE 2<br/>@TOT 2 F","266.25","8.07","0%","0%","33","12","33","100","0","2","0","2","33","10"
"*02m4i*","Ben Foster","WAT","G","5","Connor L","WHU 4<br/>@WAT 1 F","259.25","6.82","0%","0%","38","7","59","128","1","1","5","1","45","18"
"*04fk5*","Ederson","MCI","G","6","Woot","MCI 4<br/>@BHA 1 F","257.25","6.77","11%","0%","38","20","23","58","2","0","3","1","17","10"
"*032f9*","Jordan Pickford","EVE","G","7","Tim O","EVE 2<br/>@TOT 2 F","255","6.71","95%","+1%","38","14","46","94","1","3","1","0","32","12"
"*04u40*","Kepa","CHE","G","8","BUK","CHE 0<br/>@LEI 0 F","211.25","5.87","3%","0%","36","14","39","82","2","1","0","0","13","8"
"*04mr4*","Martin Dubravka","NEW","G","9","FA","NEW 4<br/>@FUL 0 F","202.5","5.33","29%","-2%","38","11","48","96","1","0","0","0","34","13"
"*02ln1*","David de Gea","MUN","G","10","Ryan C","CAR 2<br/>@MUN 0 F","200","5.26","0%","0%","38","7","54","123","1","0","0","0","20","4"
"*04qor*","Bernd Leno","ARS","G","11","BUK","ARS 3<br/>@BUR 1 F","191.75","5.99","58%","+7%","32","6","42","105","0","0","0","3","31","7"
"*04u6n*","Sergio Rico","FUL","G","12","FA","NEW 4<br/>@FUL 0 F","182","6.28","0%","0%","29","5","56","111","1","0","2","1","32","14"
"*03dxv*","Kasper Schmeichel","LEI","G","13","Ryan R","CHE 0<br/>@LEI 0 F","181.25","4.77","0%","0%","38","10","48","90","3","0","1","3","29","10"
"*04rzm*","Rui Patricio","WOL","G","14","Laeka B","WOL 0<br/>@LIV 2 F","172.75","4.67","0%","0%","37","8","46","97","1","0","0","0","15","6"
"*04fk4*","Jonas Lossl","HUD","G","15","FA","HUD 1<br/>@SOU 1 F","160","5.16","0%","0%","31","5","54","88","1","1","4","1","32","14"
"*04rhc*","Vicente Guaita","CRY","G","16","FA","BOU 3<br/>@CRY 5 F","144.75","7.24","0%","0%","20","7","23","64","2","0","0","0","19","8"
"*04fjy*","Mat Ryan","BHA","G","17","FA","MCI 4<br/>@BHA 1 F","139","4.09","0%","0%","34","6","55","97","2","0","0","0","20","8"
"*02lv2*","Joe Hart","BUR","G","18","John L","ARS 3<br/>@BUR 1 F","125.75","6.62","0%","0%","19","4","41","77","0","1","1","0","15","4"
"*02t20*","Alex McCarthy","SOU","G","19","FA","HUD 1<br/>@SOU 1 F","119.75","4.79","0%","0%","25","4","44","78","1","0","0","0","23","17"
"*03dwz*","Tom Heaton","BUR","G","20","Alex R","ARS 3<br/>@BUR 1 F","113.5","5.97","0%","0%","19","4","27","63","3","0","2","0","14","3"
"*02m1g*","Wayne Hennessey","CRY","G","21","FA","BOU 3<br/>@CRY 5 F","98.25","5.46","0%","0%","18","5","26","44","0","1","0","0","17","10"
"*02lw2*","Asmir Begovic","BOU","G","22","Willy B","BOU 3<br/>@CRY 5 F","79.25","3.3","0%","0%","24","5","47","59","0","0","0","0","17","11"
"*02xc9*","Artur Boruc","BOU","G","23","FA","BOU 3<br/>@CRY 5 F","71.5","5.96","0%","0%","12","4","18","39","2","0","0","0","6","2"
"*044i7*","Angus Gunn","SOU","G","24","FA","HUD 1<br/>@SOU 1 F","67.75","5.65","0%","0%","12","3","18","33","0","1","0","0","11","3"
"*02m7c*","Petr Cech","ARS","G","25","FA","ARS 3<br/>@BUR 1 F","48","6.86","0%","0%","7","1","9","27","0","0","0","0","8","2"
"*02t13*","David Button","BHA","G","26","FA","MCI 4<br/>@BHA 1 F","28","7","0%","0%","4","1","5","14","0","0","0","0","4","1"
