"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*02ooy*","Eden Hazard","CHE","F","1","Laeka B","CHE 0<br/>@LEI 0 F","645.5","17.45","0%","0%","37","16","98","15","43","9","88","2","0","0","15","10","3","136","19","0","0","13"
"*03aqp*","Mohamed Salah","LIV","F","2","Alex R","WOL 0<br/>@LIV 2 F","568.5","14.96","97%","0%","38","22","68","12","64","9","120","1","0","0","5","4","4","74","11","0","0","21"
"*02lkp*","Raheem Sterling","MCI","F","3","Blake R","MCI 4<br/>@BHA 1 F","522","15.35","1%","0%","34","17","64","15","39","17","91","3","0","0","9","16","4","79","13","0","0","17"
"*02m11*","Matt Doherty","WOL","D","4","Connor L","WOL 0<br/>@LIV 2 F","516.75","13.6","1%","0%","38","4","38","7","18","43","22","5","0","0","15","59","83","21","141","1","2","8"
"*02m2u*","Gylfi Sigurdsson","EVE","M","5","Noah B","EVE 2<br/>@TOT 2 F","489","12.87","0%","0%","38","13","75","6","34","33","33","3","0","0","22","29","23","36","17","0","0","15"
"*03r8r*","Ryan Fraser","BOU","M","6","Laeka B","BOU 3<br/>@CRY 5 F","487","12.82","0%","0%","38","7","93","14","25","12","23","2","0","0","48","23","20","24","11","0","0","9"
"*03vlj*","Virgil van Dijk","LIV","D","7","Ryan R","WOL 0<br/>@LIV 2 F","480.25","12.64","100%","0%","38","4","7","4","8","28","1","1","0","0","0","41","199","9","178","0","22","20"
"*03jv0*","Sadio Mane","LIV","F","8","Laeka B","WOL 0<br/>@LIV 2 F","480","13.33","0%","0%","36","22","45","3","42","28","48","2","0","0","6","16","9","53","34","0","0","19"
"*04tm0*","Lucas Digne","EVE","D","9","BUK","EVE 2<br/>@TOT 2 F","477.5","13.64","60%","-3%","35","4","70","5","10","47","32","5","0","1","48","58","90","13","90","1","36","13"
"*02lnq*","Paul Pogba","MUN","M","10","Woot","CAR 2<br/>@MUN 0 F","464","13.26","0%","0%","35","13","54","10","50","29","91","6","0","0","3","18","33","55","59","0","0","8"
"*04sav*","Felipe Anderson","WHU","M","11","Alex R","WHU 4<br/>@WAT 1 F","452","12.56","0%","0%","36","9","65","6","25","44","54","3","0","0","17","42","13","76","10","0","0","7"
"*04ami*","Luka Milivojevic","CRY","M","12","Connor L","BOU 3<br/>@CRY 5 F","448.5","11.8","0%","0%","38","12","57","2","25","70","20","10","0","0","10","72","65","14","53","0","0","12"
