"Standings"
"Rk","Team","W","D","L","Points","Win%","WW","FPtsF","FPtsA","Streak"
"1","2 More Years of Fellaini","29","0","6","87",".829","12","3,375.5","2,612.75","1 (W)"
"2","Aubazette FC","23","0","12","69",".657","11","3,568.5","2,800.5","2 (W)"
"3","Sturridge's Comeback Tour","23","0","12","69",".657","10","3,375.25","2,695.5","6 (W)"
"4","Tim's Team","22","0","13","66",".629","9","2,999.25","2,754.5","3 (W)"
"5","Ashley notso Young","16","1","18","49",".471","8","2,868.75","2,921.25","4 (L)"
"6","Woot's Team","16","0","19","48",".457","7","3,065","2,983.25","3 (L)"
"7","Ry Rob's Team","16","0","19","48",".457","6","2,848.5","3,033.25","2 (W)"
"8","Firmino's 1st Friend","14","0","21","42",".400","5","2,448","2,859.75","2 (W)"
"9","Romelu Bukake","13","1","21","40",".386","4","2,409.5","3,002.25","3 (L)"
"10","Team I_am_Tim","13","0","22","39",".371","3","2,695","3,198.75","2 (L)"
"11","Blake's Team","12","0","23","36",".343","2","2,655","3,085","1 (L)"
"12","Culture Change","12","0","23","36",".343","1","2,499","2,860.5","2 (L)"

