"Standings"
"Rk","Team","W","D","L","Points","Win%","WW","FPtsF","FPtsA","Streak"
"1","Ole's Novelty Wheels","29","0","9","87",".763","10","3,884","3,072.5","1 (L)"
"2","Alex's Historic Collapse Week 2 of 8","24","0","14","72",".632","9","3,845","3,442","3 (L)"
"3","Pepe Pig","23","0","15","69",".605","8","3,441","3,279.25","1 (L)"
"4","KDB's LCL","21","0","17","63",".553","7","3,653.5","3,354","1 (W)"
"5","Phil Jones Moans","21","0","17","63",".553","6","3,508.5","3,245.75","5 (W)"
"6","Brendan's Pool Boyz","20","0","18","60",".526","5","3,988","3,383.25","2 (W)"
"7","In Talks FC","18","0","20","54",".474","4","3,377.5","3,475.25","3 (L)"
"8","The team formerly known as Maupay FC","15","0","23","45",".395","3","3,041.25","3,433","3 (W)"
"9","Tim's Team","12","0","26","36",".316","2","2,828.5","3,429.75","8 (L)"
"10","Romelu Bukake","7","0","31","21",".184","1","2,246.25","3,698.75","1 (W)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"Ole's Novelty Wheels","70.25","The team formerly known as Maupay FC","84.25"
"In Talks FC","89.5","KDB's LCL","178"
"Romelu Bukake","72","Alex's Historic Collapse Week 2 of 8","48.5"
"Pepe Pig","57.75","Phil Jones Moans","72"
"Brendan's Pool Boyz","90.75","Tim's Team","58.75"

"Gameweek 37"
"Away","FPts","Home","FPts"
"In Talks FC","74","Ole's Novelty Wheels","85"
"The team formerly known as Maupay FC","82","Romelu Bukake","50.75"
"KDB's LCL","88.5","Pepe Pig","103.75"
"Alex's Historic Collapse Week 2 of 8","121.75","Brendan's Pool Boyz","143.25"
"Phil Jones Moans","112.5","Tim's Team","75"

