"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*03u2b*","Adama Traore","WOL","F","7","Wee Joe","WOL 0<br/>@CHE 2 F","26","26","9%","0%","1","0","2","2","0","1","2","0","0","0","1","0","0","8","2","0","0","0"
"*03vlj*","Virgil van Dijk","LIV","D","20","Tim O","LIV 3<br/>@NEW 1 F","25","25","100%","0%","1","1","0","0","1","0","0","0","0","0","0","2","8","0","3","0","0","1"
"*04qrc*","Raul Jimenez","WOL","F","5","Tim O","WOL 0<br/>@CHE 2 F","25","25","86%","-5%","1","2","0","0","3","0","3","0","0","0","0","1","2","1","1","0","0","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","2","Wee Joe","LIV 3<br/>@NEW 1 F","25","25","0%","0%","1","0","2","1","0","2","0","0","0","0","2","0","0","1","2","0","0","1"
"*04kj7*","Serge Aurier","TOT","D","30","OATW","TOT 1<br/>@CRY 1 F","23.5","23.5","0%","0%","1","0","2","0","0","3","4","0","0","0","2","2","2","4","4","0","0","1"
"*02lun*","Sergio Aguero","MCI","F","56","FA","NOR 0<br/>@MCI 5 F","23","23","0%","0%","1","2","0","0","3","0","4","0","0","0","0","0","0","1","0","0","0","0"
"*03ysd*","Sam Byram","NOR","D","311","FA","NOR 0<br/>@MCI 5 F","20.75","20.75","0%","0%","1","0","1","0","0","2","0","0","0","0","0","2","3","1","7","0","0","1"
"*04ml9*","Cenk Tosun","EVE/CRY","F","357","FA","BOU 3<br/>@EVE 1 F","20.5","20.5","0%","0%","1","1","0","0","2","1","1","0","0","0","0","0","0","5","4","0","0","1"
"*04abn*","Harvey Barnes","LEI","M","46","NEAL","MUN 2<br/>@LEI 0 F","20","20","69%","+9%","1","1","3","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0"
"*051k7*","Reece James","CHE","D","137","OATW","WOL 0<br/>@CHE 2 F","19.75","19.75","95%","+3%","1","0","2","0","0","3","1","0","0","0","2","3","1","1","1","0","0","1"
"*04gyl*","Benjamin Mendy","MCI","D","171","Wee Joe","NOR 0<br/>@MCI 5 F","19.25","19.25","0%","0%","1","0","4","1","0","2","2","1","0","0","6","1","1","1","1","0","2","0"
"*02lm7*","Jack Grealish","AVL","M","12","RyRob","AVL 1<br/>@WHU 1 F","19","19","33%","-1%","1","1","1","0","1","0","1","0","0","0","1","1","0","4","1","0","0","0"
"*03ra1*","Troy Deeney","WAT","F","44","RyRob","WAT 2<br/>@ARS 3 F","19","19","0%","0%","1","0","2","0","2","1","0","0","0","0","0","0","0","0","20","0","0","1"
"*04fyc*","Charlie Taylor","BUR","D","138","FA","BHA 2<br/>@BUR 1 F","18.5","18.5","0%","0%","1","0","2","0","0","1","1","0","0","0","1","3","4","5","6","0","1","0"
"*051l5*","John Fleck","SHU","M","90","FA","SHU 1<br/>@SOU 3 F","18","18","0%","0%","1","1","1","0","1","2","0","0","0","0","0","1","2","2","0","0","0","0"
"*03jab*","Federico Fernandez","NEW","D","172","FA","LIV 3<br/>@NEW 1 F","17.5","17.5","0%","0%","1","0","1","0","0","2","0","0","0","0","1","2","6","2","1","0","0","1"
"*04tm0*","Lucas Digne","EVE","D","14","Willy B","BOU 3<br/>@EVE 1 F","17","17","60%","-3%","1","0","4","0","0","0","1","0","0","0","3","3","2","0","5","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","4","Ryan C","LIV 3<br/>@NEW 1 F","16.5","16.5","97%","0%","1","1","3","0","1","0","3","1","0","0","0","3","1","1","0","0","0","1"
"*0520r*","Leandro Trossard","BHA","M","98","RyRob","BHA 2<br/>@BUR 1 F","16.5","16.5","91%","+3%","1","1","1","0","1","2","1","0","0","0","0","0","1","2","0","0","0","0"
"*02oox*","Kevin De Bruyne","MCI","M","1","RyRob","NOR 0<br/>@MCI 5 F","16.5","16.5","0%","0%","1","0","6","0","0","1","1","0","0","0","3","0","1","1","0","0","0","0"
"*04qqv*","Fred","MUN","M","152","BUK","MUN 2<br/>@LEI 0 F","16.5","16.5","0%","0%","1","0","2","0","1","3","1","0","0","0","1","4","0","3","0","0","0","0"
