"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","OG","SOT"
"*02lz0*","Emiliano Martinez","ARS/AVL","G","1","CFPL","CHE 1<br/>@AVL 2 F","341.75","8.99","79%","-2%","38","3,420","15","46","142","1","0","1","0","3","0","0","0","2","0","0","2","14","11","0","0","0"
"*05mzt*","Illan Meslier","LEE","G","2","FA","WBA 1<br/>@LEE 3 F","298.75","8.54","2%","0%","35","3,150","11","52","140","0","0","1","0","0","1","0","0","1","0","0","0","41","20","0","1","0"
"*044ei*","Nick Pope","BUR","G","3","FA","BUR 0<br/>@SHU 1 F","265.75","8.3","70%","+4%","32","2,880","11","37","114","1","0","0","0","1","0","0","0","2","0","0","2","40","9","0","0","0"
"*02xtd*","Sam Johnstone","WBA","G","4","Laeka B","WBA 1<br/>@LEE 3 F","265","7.16","1%","0%","37","3,330","6","74","166","1","0","1","0","0","0","0","1","1","0","0","2","38","7","0","0","0"
"*04fk5*","Ederson","MCI","G","5","JADON","EVE 0<br/>@MCI 5 F","248.5","6.9","11%","0%","36","3,240","19","28","66","3","0","1","0","1","0","0","1","1","0","0","0","17","7","0","0","0"
"*02w72*","Hugo Lloris","TOT","G","6","No Slips","TOT 4<br/>@LEI 2 F","244.25","6.43","0%","0%","38","3,420","12","45","114","0","0","0","0","0","1","0","0","0","0","0","0","19","6","0","0","0"
"*04sjt*","Alisson","LIV","G","7","RyRob","CRY 0<br/>@LIV 2 F","230.75","6.99","56%","-2%","33","2,970","10","32","84","1","0","1","0","2","0","1","0","0","0","0","2","43","14","0","0","1"
"*04amh*","Aaron Ramsdale","SHU","G","8","FA","BUR 0<br/>@SHU 1 F","230.25","6.06","9%","-1%","38","3,420","5","63","147","1","0","0","0","1","0","0","0","2","0","0","2","34","9","0","0","0"
"*05oef*","Alphonse Areola","FUL","G","9","Noah B","NEW 2<br/>@FUL 0 F","227","6.31","8%","0%","36","3,240","9","48","116","2","0","0","0","0","0","0","0","0","0","0","1","39","14","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","10","Yum","SOU 0<br/>@WHU 3 F","209.5","5.99","0%","0%","35","3,150","10","44","103","2","0","1","0","0","0","0","0","0","0","0","1","21","3","0","0","0"
