"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*05gcr*","Bruno Fernandes","MUN","M","1","FA","MUN 2<br/>@WOL 1 F","625.25","16.9","100%","0%","37","3,098","18","12","95","0","0","51","30","37","6","0","19","26","27","23","0","16","1","0","36","13"
"*02lol*","Harry Kane","TOT","F","2","No Slips","TOT 4<br/>@LEI 2 F","590.75","16.88","0%","0%","35","3,082","23","14","49","0","0","53","12","54","1","0","7","11","39","52","11","76","0","0","39","12"
"*03v9d*","Son Heung-Min","TOT","F","3","Laeka B","TOT 4<br/>@LEI 2 F","508","13.73","10%","0%","37","3,116","17","10","75","0","0","36","18","50","0","0","9","14","3","39","3","20","0","0","36","13"
"*03aqp*","Mohamed Salah","LIV","F","4","RyRob","CRY 0<br/>@LIV 2 F","469.5","12.69","97%","0%","37","3,074","22","5","57","0","0","52","9","82","0","0","7","1","10","36","0","18","0","0","41","11"
"*03jv0*","Sadio Mane","LIV","F","5","Yum","CRY 0<br/>@LIV 2 F","466.75","13.34","0%","0%","35","2,804","11","7","61","0","1","36","30","61","3","0","9","15","9","82","0","36","0","0","28","12"
"*052cd*","Mason Mount","CHE","M","6","Laeka B","CHE 1<br/>@AVL 2 F","453","12.58","17%","0%","36","2,884","6","5","87","0","0","27","35","41","2","0","14","31","12","43","2","21","0","0","32","14"
"*02oq8*","James Ward-Prowse","SOU","M","7","Laeka B","SOU 0<br/>@WHU 3 F","449.25","11.82","32%","-6%","38","3,420","8","7","60","0","0","24","49","14","5","0","16","42","52","17","4","47","1","0","68","9"
"*05gcp*","Tomas Soucek","WHU","M","8","I_am_Tim","SOU 0<br/>@WHU 3 F","438.25","11.53","43%","-3%","38","3,418","10","1","18","0","0","23","41","21","7","1","1","62","102","16","18","234","0","1","47","11"
"*02oox*","Kevin De Bruyne","MCI","M","9","Noah B","EVE 0<br/>@MCI 5 F","436.25","17.45","0%","0%","25","1,995","6","12","80","0","0","27","21","33","1","0","18","9","8","48","1","4","1","0","17","12"
"*02lm7*","Jack Grealish","AVL","M","10","CFPL","CHE 1<br/>@AVL 2 F","422.75","16.26","33%","-1%","26","2,180","6","10","81","0","2","19","14","39","6","0","10","12","4","65","3","26","0","0","28","12"
"*05ocl*","Ollie Watkins","AVL","F","11","CFPL","CHE 1<br/>@AVL 2 F","419.5","11.34","99%","0%","37","3,328","14","5","45","0","0","45","17","85","2","1","5","7","23","40","2","136","1","0","46","14"
"*03ek4*","Patrick Bamford","LEE","F","12","I_am_Tim","WBA 1<br/>@LEE 3 F","410.75","10.81","0%","0%","38","3,053","17","7","30","0","2","48","9","21","3","0","1","10","37","19","4","47","0","0","50","10"
"*03srg*","Trent Alexander-Arnold","LIV","D","13","I_am_Tim","CRY 0<br/>@LIV 2 F","406","11.28","0%","0%","36","3,032","2","7","77","0","0","12","33","22","2","0","42","49","43","32","3","8","0","0","40","10"
"*03ybi*","Marcus Rashford","MUN","F","14","Noah B","MUN 2<br/>@WOL 1 F","405.75","10.97","92%","0%","37","2,916","11","9","43","0","1","37","9","50","4","0","8","8","10","82","2","25","0","0","39","12"
"*05n0b*","Matheus Pereira","WBA","M","15","RyRob","WBA 1<br/>@LEE 3 F","405.5","12.29","0%","0%","33","2,576","11","6","60","0","0","28","15","45","2","1","19","29","14","40","0","13","0","0","55","6"
"*04spq*","Jack Harrison","LEE","M","16","Laeka B","WBA 1<br/>@LEE 3 F","397.75","11.05","3%","0%","36","2,847","8","8","59","0","0","19","38","63","2","0","22","15","18","42","2","26","0","0","45","11"
"*05os7*","Raphinha","LEE","F","17","RyRob","WBA 1<br/>@LEE 3 F","396","13.2","0%","0%","30","2,358","6","9","64","0","0","24","17","34","3","0","20","29","26","56","1","9","0","0","34","9"
"*04yo7*","Youri Tielemans","LEI","M","18","Tim O","TOT 4<br/>@LEI 2 F","383.75","10.1","85%","-3%","38","3,356","6","4","49","0","0","20","45","35","6","0","12","46","16","43","8","35","0","0","50","11"
"*03dyk*","Jamie Vardy","LEI","F","19","Laeka B","TOT 4<br/>@LEI 2 F","381","11.21","0%","0%","34","2,839","15","9","28","0","0","38","12","12","1","0","2","4","31","26","5","50","1","0","44","8"
"*049tq*","Dominic Calvert-Lewin","EVE","F","20","Laeka B","EVE 0<br/>@MCI 5 F","380","11.52","82%","0%","33","2,872","16","0","18","0","2","46","8","29","3","0","3","6","33","22","6","154","0","0","39","11"
"*056iy*","Pedro Neto","WOL","F","21","FA","MUN 2<br/>@WOL 1 F","373","12.03","95%","-2%","31","2,555","5","6","61","0","0","21","9","41","4","0","37","31","5","64","2","19","0","0","38","9"
"*03u2b*","Adama Traore","WOL","F","22","Yum","MUN 2<br/>@WOL 1 F","369.75","9.99","9%","0%","37","2,638","2","2","55","0","1","13","16","65","4","0","24","7","11","153","1","73","0","0","41","7"
