"Standings"
"Rk","Team","W","D","L","Points","Win%","WW","FPtsF","FPtsA","Streak"
"1","Werner's Weiners","26","0","12","78",".684","8","4,522.5","3,697.75","2 (W)"
"2","Leo Gerard U1s Team","22","0","16","66",".579","5","4,277.5","3,955.75","3 (W)"
"3","Oliver McBurnie's 7.36 FP/G","22","0","16","66",".579","7","3,852.5","3,724.25","8 (W)"
"4","Never wanted him anyway","20","0","18","60",".526","6","3,542.25","3,639.25","3 (L)"
"5","Jesse's Last Touch","19","0","19","57",".500","9","3,836.5","3,580.25","4 (L)"
"6","Midtable Merchant","17","0","21","51",".447","4","3,738.5","3,775.5","6 (L)"
"7","Team I_am_Tim","17","0","21","51",".447","1","3,689.75","3,832.5","2 (W)"
"8","The Celtic of FPL","16","0","22","48",".421","10","3,645.5","3,962.5","1 (L)"
"9","Gerrard's Firm-footed Rangers","16","0","22","48",".421","3","3,478.75","3,788.5","1 (W)"
"10","Tim's Team","15","0","23","45",".395","2","3,056.25","3,683.75","2 (L)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"Leo Gerard U1s Team","90.5","Jesse's Last Touch","72.75"
"Midtable Merchant","38","Gerrard's Firm-footed Rangers","92.75"
"Werner's Weiners","154","Tim's Team","59.75"
"Oliver McBurnie's 7.36 FP/G","117.75","Never wanted him anyway","112.25"
"The Celtic of FPL","72.25","Team I_am_Tim","92.5"

"Gameweek 37"
"Away","FPts","Home","FPts"
"Midtable Merchant","104.5","Leo Gerard U1s Team","132.75"
"Jesse's Last Touch","103.75","Werner's Weiners","135"
"Gerrard's Firm-footed Rangers","69.25","Oliver McBurnie's 7.36 FP/G","77"
"Tim's Team","65.5","The Celtic of FPL","112.75"
"Never wanted him anyway","69","Team I_am_Tim","112.25"

