"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","OG","SOT"
"*02lz0*","Emiliano Martinez","ARS/AVL","G","1","CFPL","CHE 1<br/>@AVL 2 F","22","22","79%","-2%","1","90","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044ei*","Nick Pope","BUR","G","3","FA","BUR 0<br/>@SHU 1 F","22","22","70%","+4%","1","90","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0"
"*03dxv*","Kasper Schmeichel","LEI","G","15","FA","TOT 4<br/>@LEI 2 F","16","16","0%","0%","1","90","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","11","Tim O","EVE 0<br/>@MCI 5 F","15.75","15.75","95%","+1%","1","90","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0"
"*04fk5*","Ederson","MCI","G","5","JADON","EVE 0<br/>@MCI 5 F","12","12","11%","0%","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ln1*","David de Gea","MUN","G","19","FA","MUN 2<br/>@WOL 1 F","12","12","0%","0%","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rhc*","Vicente Guaita","CRY","G","16","Yum","CRY 0<br/>@LIV 2 F","10.5","10.5","0%","0%","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"*05oef*","Alphonse Areola","FUL","G","9","Noah B","NEW 2<br/>@FUL 0 F","8.25","8.25","8%","0%","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","10","Yum","SOU 0<br/>@WHU 3 F","8.25","8.25","0%","0%","1","90","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"*02t20*","Alex McCarthy","SOU","G","20","FA","SOU 0<br/>@WHU 3 F","8","8","0%","0%","1","90","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05mzt*","Illan Meslier","LEE","G","2","FA","WBA 1<br/>@LEE 3 F","7.75","7.75","2%","0%","1","90","0","2","6","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"*04sjt*","Alisson","LIV","G","7","RyRob","CRY 0<br/>@LIV 2 F","6.25","6.25","56%","-2%","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"*02w72*","Hugo Lloris","TOT","G","6","No Slips","TOT 4<br/>@LEI 2 F","6","6","0%","0%","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02xtd*","Sam Johnstone","WBA","G","4","Laeka B","WBA 1<br/>@LEE 3 F","4.25","4.25","1%","0%","1","90","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"*05oje*","Edouard Mendy","CHE","G","12","FA","CHE 1<br/>@AVL 2 F","4","4","0%","0%","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03pif*","Karl Darlow","NEW","G","18","FA","NEW 2<br/>@FUL 0 F","3.25","3.25","18%","-12%","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"*04qor*","Bernd Leno","ARS","G","13","FA","BHA 0<br/>@ARS 2 F","2.25","2.25","58%","+7%","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"*04amh*","Aaron Ramsdale","SHU","G","8","FA","BUR 0<br/>@SHU 1 F","0.5","0.5","9%","-1%","1","90","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"*04fjy*","Mat Ryan","BHA/ARS","G","25","FA","BHA 0<br/>@ARS 2 F","0.5","0.5","0%","0%","1","90","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"*045ob*","Caoimhin Kelleher","LIV","G","28","FA","CRY 0<br/>@LIV 2 F","0","0","91%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yww*","Dean Henderson","MUN","G","21","FA","MUN 2<br/>@WOL 1 F","0","0","89%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04yme*","Robert Sanchez","BHA","G","17","FA","BHA 0<br/>@ARS 2 F","0","0","61%","-11%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mr4*","Martin Dubravka","NEW","G","22","FA","NEW 2<br/>@FUL 0 F","0","0","29%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz3*","James Trafford","MCI","G","68","FA","EVE 0<br/>@MCI 5 F","0","0","21%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04u40*","Kepa","CHE","G","26","FA","CHE 1<br/>@AVL 2 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","64","FA","BHA 0<br/>@ARS 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
