"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*02m2u*","Gylfi Sigurdsson","EVE","M","58","Tim O","EVE 0<br/>@MCI 5 F","33.25","33.25","0%","0%","1","90","2","0","4","0","0","2","2","1","0","0","0","0","1","1","0","0","0","0","2","0"
"*05o4c*","Timothy Castagne","LEI","D","143","Laeka B","TOT 4<br/>@LEI 2 F","28","28","18%","+4%","1","90","0","1","5","0","0","0","2","0","0","0","0","1","1","0","0","1","0","0","0","1"
"*04spy*","Mason Greenwood","MUN","F","155","Noah B","MUN 2<br/>@WOL 1 F","28","28","0%","0%","1","90","2","0","1","0","0","3","0","2","0","0","1","0","1","1","0","2","0","0","1","0"
"*02lol*","Harry Kane","TOT","F","2","No Slips","TOT 4<br/>@LEI 2 F","27.5","27.5","0%","0%","1","88","2","0","2","0","0","2","0","1","0","0","0","0","1","2","1","0","0","0","2","0"
"*02lo3*","Gareth Bale","TOT","M,F","88","JADON","TOT 4<br/>@LEI 2 F","26.5","26.5","0%","0%","1","82","1","0","3","0","0","2","2","0","0","0","0","0","2","4","0","2","0","0","1","0"
"*03v9d*","Son Heung-Min","TOT","F","3","Laeka B","TOT 4<br/>@LEI 2 F","26","13","10%","0%","2","180","1","0","4","0","0","2","1","8","0","0","0","1","1","5","0","3","0","0","3","0"
"*03dyk*","Jamie Vardy","LEI","F","19","Laeka B","TOT 4<br/>@LEI 2 F","24.5","24.5","0%","0%","1","84","1","1","2","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","1"
"*04fk6*","Bernardo Silva","MCI","M","134","RyRob","EVE 0<br/>@MCI 5 F","23.75","23.75","94%","0%","1","90","0","2","3","0","0","0","1","1","0","0","1","0","0","4","0","0","0","0","1","0"
"*02ln2*","Jonny Evans","LEI","D","110","Tim O","TOT 4<br/>@LEI 2 F","23.75","23.75","0%","0%","1","90","1","0","1","0","0","1","2","0","0","0","0","0","1","0","0","1","0","0","0","1"
"*04qra*","Romain Saiss","WOL","D","105","CFPL","MUN 2<br/>@WOL 1 F","22.75","22.75","0%","0%","1","90","0","0","0","0","0","1","3","0","0","0","0","1","7","2","0","6","0","0","0","1"
"*05o8m*","James Rodriguez","EVE","M","82","Tim O","EVE 0<br/>@MCI 5 F","21.5","21.5","0%","0%","1","90","0","0","4","0","1","2","1","2","0","0","1","1","0","1","0","0","0","0","2","0"
"*05ojh*","Diego Llorente","LEE","D","247","FA","WBA 1<br/>@LEE 3 F","21","21","0%","0%","1","90","1","0","0","0","0","1","2","0","0","0","0","1","2","2","3","4","0","0","1","0"
"*02lsa*","Dan Burn","BHA","D","141","FA","BHA 0<br/>@ARS 2 F","20.75","20.75","75%","+1%","1","90","0","0","1","0","0","0","2","0","0","0","0","1","4","1","0","7","0","0","0","1"
"*04abb*","Phil Foden","MCI","M","52","JADON","EVE 0<br/>@MCI 5 F","20.5","20.5","97%","+5%","1","90","1","0","3","0","0","1","0","1","0","0","1","0","0","3","0","0","0","0","1","0"
