year,week,t1_team,t2_team,t1_score,t2_score
2021,1,Berkley McG’s U1s,Alex's Redemption Arc,86.25,138.75
2021,1,Hale End Starbøys,Gabriel’s Sparkling Cider,153.75,84.5
2021,1,Leo Gerard U2s Team,Gylfi’s Goobers,117.75,123.5
2021,1,Roy Kent's U8 Girls,Sean Dyche's Great Escape,101.75,79.25
2021,1,team_tim,The McB’s,64.75,155.75
2021,2,Hale End Starbøys,Berkley McG’s U1s,128.0,155.75
2021,2,Alex's Redemption Arc,team_tim,75.5,89.5
2021,2,Gabriel’s Sparkling Cider,Leo Gerard U2s Team,125.0,120.75
2021,2,Gylfi’s Goobers,Roy Kent's U8 Girls,86.0,121.5
2021,2,Sean Dyche's Great Escape,The McB’s,106.25,151.5
2021,3,Berkley McG’s U1s,Gabriel’s Sparkling Cider,111.25,46.75
2021,3,Roy Kent's U8 Girls,Leo Gerard U2s Team,94.75,112.25
2021,3,Sean Dyche's Great Escape,Alex's Redemption Arc,102.0,84.75
2021,3,The McB’s,Gylfi’s Goobers,86.0,116.5
2021,3,team_tim,Hale End Starbøys,70.5,129.75
2021,4,Berkley McG’s U1s,team_tim,117.25,94.5
2021,4,Gabriel’s Sparkling Cider,Roy Kent's U8 Girls,107.0,133.75
2021,4,Gylfi’s Goobers,Alex's Redemption Arc,109.0,80.0
2021,4,Hale End Starbøys,Sean Dyche's Great Escape,110.0,89.5
2021,4,Leo Gerard U2s Team,The McB’s,101.0,77.25
2021,5,Sean Dyche's Great Escape,Berkley McG’s U1s,125.25,104.0
2021,5,Alex's Redemption Arc,Leo Gerard U2s Team,83.0,126.0
2021,5,Gylfi’s Goobers,Hale End Starbøys,114.0,109.75
2021,5,The McB’s,Roy Kent's U8 Girls,101.75,106.25
2021,5,team_tim,Gabriel’s Sparkling Cider,94.75,129.75
2021,6,Berkley McG’s U1s,Gylfi’s Goobers,101.5,112.25
2021,6,Gabriel’s Sparkling Cider,The McB’s,53.5,93.25
2021,6,Leo Gerard U2s Team,Hale End Starbøys,89.75,109.75
2021,6,Roy Kent's U8 Girls,Alex's Redemption Arc,118.25,138.25
2021,6,team_tim,Sean Dyche's Great Escape,96.75,77.0
2021,7,Leo Gerard U2s Team,Berkley McG’s U1s,97.75,114.75
2021,7,Alex's Redemption Arc,The McB’s,99.5,100.5
2021,7,Gylfi’s Goobers,team_tim,129.25,68.75
2021,7,Hale End Starbøys,Roy Kent's U8 Girls,62.75,45.25
2021,7,Sean Dyche's Great Escape,Gabriel’s Sparkling Cider,83.25,87.0
2021,8,Roy Kent's U8 Girls,Berkley McG’s U1s,79.5,81.0
2021,8,Gabriel’s Sparkling Cider,Alex's Redemption Arc,81.25,99.75
2021,8,Sean Dyche's Great Escape,Gylfi’s Goobers,92.75,136.0
2021,8,The McB’s,Hale End Starbøys,77.75,122.75
2021,8,team_tim,Leo Gerard U2s Team,116.75,151.25
2021,9,Berkley McG’s U1s,The McB’s,107.25,120.5
2021,9,Gylfi’s Goobers,Gabriel’s Sparkling Cider,154.75,75.5
2021,9,Hale End Starbøys,Alex's Redemption Arc,129.5,81.0
2021,9,Leo Gerard U2s Team,Sean Dyche's Great Escape,153.75,67.25
2021,9,Roy Kent's U8 Girls,team_tim,51.25,111.5
2021,10,Alex's Redemption Arc,Berkley McG’s U1s,95.25,153.0
2021,10,Gabriel’s Sparkling Cider,Hale End Starbøys,135.5,110.25
2021,10,Gylfi’s Goobers,Leo Gerard U2s Team,91.75,91.0
2021,10,Sean Dyche's Great Escape,Roy Kent's U8 Girls,70.75,87.0
2021,10,The McB’s,team_tim,97.5,68.25
2021,11,Berkley McG’s U1s,Hale End Starbøys,91.5,119.5
2021,11,Leo Gerard U2s Team,Gabriel’s Sparkling Cider,127.75,81.25
2021,11,Roy Kent's U8 Girls,Gylfi’s Goobers,84.25,107.5
2021,11,The McB’s,Sean Dyche's Great Escape,65.25,38.0
2021,11,team_tim,Alex's Redemption Arc,82.0,71.0
2021,12,Gabriel’s Sparkling Cider,Berkley McG’s U1s,66.75,120.5
2021,12,Alex's Redemption Arc,Sean Dyche's Great Escape,64.5,100.0
2021,12,Gylfi’s Goobers,The McB’s,108.0,150.25
2021,12,Hale End Starbøys,team_tim,107.25,99.5
2021,12,Leo Gerard U2s Team,Roy Kent's U8 Girls,101.0,83.25
2021,13,team_tim,Berkley McG’s U1s,150.25,70.25
2021,13,Alex's Redemption Arc,Gylfi’s Goobers,47.0,106.25
2021,13,Roy Kent's U8 Girls,Gabriel’s Sparkling Cider,89.0,118.25
2021,13,Sean Dyche's Great Escape,Hale End Starbøys,97.5,89.25
2021,13,The McB’s,Leo Gerard U2s Team,90.75,153.5
2021,14,Berkley McG’s U1s,Sean Dyche's Great Escape,132.75,81.25
2021,14,Gabriel’s Sparkling Cider,team_tim,114.25,104.5
2021,14,Hale End Starbøys,Gylfi’s Goobers,125.5,109.25
2021,14,Leo Gerard U2s Team,Alex's Redemption Arc,115.5,131.5
2021,14,Roy Kent's U8 Girls,The McB’s,84.5,120.5
2021,15,Gylfi’s Goobers,Berkley McG’s U1s,112.0,120.0
2021,15,Alex's Redemption Arc,Roy Kent's U8 Girls,63.75,56.5
2021,15,Hale End Starbøys,Leo Gerard U2s Team,98.75,117.5
2021,15,Sean Dyche's Great Escape,team_tim,75.0,115.0
2021,15,The McB’s,Gabriel’s Sparkling Cider,99.25,93.0
