"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKD","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","HCS","Sm","OG","SOT"
"*04sjt*","Alisson","LIV","G","1","DYCHE","WOL 1<br/>@LIV 3 F","324","9","56%","-2%","36","3,240","20","24","76","0","0","0","0","0","1","0","0","1","1","0","0","0","47","15","0","22","6","1","0"
"*05udg*","Jose Sa","WOL","G","2","RyRob","WOL 1<br/>@LIV 3 F","322.5","8.72","13%","0%","37","3,285","11","40","121","3","0","0","0","0","1","0","0","1","3","0","0","2","39","13","0","41","3","1","0"
"*02w72*","Hugo Lloris","TOT","G","3","I_am_Tim","TOT 5<br/>@NOR 0 F","302","7.95","0%","0%","38","3,420","16","40","98","2","0","0","0","0","1","0","0","0","2","0","0","1","34","14","0","28","5","0","0"
"*044ei*","Nick Pope","BUR","G","4","McGinn","NEW 2<br/>@BUR 1 F","298","8.28","70%","+4%","36","3,240","9","47","121","1","0","0","0","0","0","0","0","0","2","0","0","2","46","18","0","42","2","0","0"
"*04yme*","Robert Sanchez","BHA","G","5","FA","WHU 1<br/>@BHA 3 F","276.5","7.47","61%","-11%","37","3,328","11","42","101","3","1","0","0","0","1","0","0","0","3","0","0","0","21","17","0","50","4","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","6","Noah B","WHU 1<br/>@BHA 3 F","263","7.11","0%","0%","37","3,330","8","50","114","2","0","3","0","0","0","1","0","0","0","0","0","0","22","12","0","25","9","0","0"
"*04fk5*","Ederson","MCI","G","7","RK U8","AVL 2<br/>@MCI 3 F","258.5","6.99","11%","0%","37","3,330","20","26","60","3","0","0","0","0","1","0","0","0","0","0","0","0","21","10","0","17","3","0","0"
"*03dxv*","Kasper Schmeichel","LEI","G","8","YUM","SOU 1<br/>@LEI 4 F","250","6.76","0%","0%","37","3,330","7","58","131","2","0","2","0","0","0","0","0","0","1","0","0","1","27","10","0","13","3","0","0"
"*02ln1*","David de Gea","MUN","G","9","FA","MUN 0<br/>@CRY 1 F","243.25","6.4","0%","0%","38","3,420","8","57","128","0","0","2","0","0","0","0","0","0","0","0","0","0","21","8","0","8","0","0","0"
"*04amh*","Aaron Ramsdale","SHU/ARS","G","10","FA","EVE 1<br/>@ARS 5 F","237.75","6.99","9%","-1%","34","3,060","12","39","90","1","0","0","0","0","1","0","0","0","0","0","0","0","38","7","0","22","2","0","0"
"*05oje*","Edouard Mendy","CHE","G","11","HALE","WAT 1<br/>@CHE 2 F","233","6.85","0%","0%","34","3,060","14","31","73","3","0","0","0","0","0","0","0","0","0","0","0","0","24","11","0","25","1","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","12","FA","AVL 2<br/>@MCI 3 F","230.5","6.4","79%","-2%","36","3,240","11","48","95","4","0","1","0","0","1","0","0","0","0","0","0","0","9","10","0","30","5","0","0"
"*032f9*","Jordan Pickford","EVE","G","14","FA","EVE 1<br/>@ARS 5 F","221.5","6.33","95%","+1%","35","3,150","7","58","117","2","0","0","0","0","1","0","0","0","4","0","0","1","36","11","0","19","2","0","0"
"*05mzt*","Illan Meslier","LEE","G","13","FA","LEE 2<br/>@BRF 1 F","221.5","5.83","2%","0%","38","3,384","5","79","143","2","0","0","0","0","1","0","0","0","0","0","0","0","45","15","0","20","10","0","0"
"*04rhc*","Vicente Guaita","CRY","G","15","FA","MUN 0<br/>@CRY 1 F","219.75","7.33","0%","0%","30","2,655","11","33","84","2","0","0","0","0","0","0","0","0","0","0","0","1","22","9","0","15","3","0","0"
"*05tqx*","David Raya","BRF","G","16","ARA","LEE 2<br/>@BRF 1 F","209.25","8.72","99%","0%","24","2,160","8","27","78","1","0","0","0","0","0","0","0","0","1","0","0","0","17","10","0","27","2","0","0"
"*04mr4*","Martin Dubravka","NEW","G","17","Laeka B","NEW 2<br/>@BUR 1 F","173.25","6.66","29%","-2%","26","2,340","8","35","73","1","0","0","0","0","1","0","0","0","2","0","0","0","12","4","0","17","6","0","0"
"*02lu3*","Tim Krul","NOR","G","18","FA","TOT 5<br/>@NOR 0 F","153.75","5.3","0%","0%","29","2,610","5","62","106","1","0","0","0","0","1","0","0","0","1","0","0","0","26","7","0","12","4","1","0"
"*02ltw*","Fraser Forster","SOU","G","19","FA","SOU 1<br/>@LEI 4 F","120.75","6.36","0%","0%","19","1,710","3","35","68","1","0","0","0","0","0","0","0","0","0","0","0","0","35","7","0","15","2","0","0"
"*02m4i*","Ben Foster","WAT","G","20","FA","WAT 1<br/>@CHE 2 F","120.75","4.64","0%","0%","26","2,340","4","49","70","0","0","1","0","0","0","0","0","1","1","0","0","0","15","6","0","17","3","0","0"
"*02t20*","Alex McCarthy","SOU","G","21","FA","SOU 1<br/>@LEI 4 F","105","6.18","0%","0%","17","1,530","5","27","44","1","0","0","0","0","0","0","0","0","1","0","0","0","12","6","0","21","1","0","0"
"*05uvu*","Alvaro Fernandez","BRF","G","22","FA","LEE 2<br/>@BRF 1 F","66.25","5.52","0%","0%","12","1,080","1","24","49","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","0","8","1","1","0"
