"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*03v9d*","Son Heung-Min","TOT","F","1","I_am_Tim","TOT 5<br/>@NOR 0 F","574.75","16.42","10%","0%","35","3,004","23","7","72","0","2","49","6","46","2","0","12","13","8","51","6","16","0","2","0","30","18"
"*03aqp*","Mohamed Salah","LIV","F","2","Laeka B","WOL 1<br/>@LIV 3 F","568.5","16.24","97%","0%","35","2,751","23","13","63","0","0","60","8","81","1","0","6","6","4","53","1","7","1","2","0","22","17"
"*03srg*","Trent Alexander-Arnold","LIV","D","3","HALE","WOL 1<br/>@LIV 3 F","537.25","16.79","0%","0%","32","2,851","2","12","90","0","0","15","23","19","2","0","44","43","33","19","4","15","0","0","0","22","18"
"*02oox*","Kevin De Bruyne","MCI","M","4","McGinn","AVL 2<br/>@MCI 3 F","506.5","16.88","0%","0%","30","2,191","15","8","87","0","0","31","16","20","2","0","18","6","16","31","2","12","0","0","0","22","13"
"*0570n*","Joao Cancelo","MCI","D","5","RK U8","AVL 2<br/>@MCI 3 F","506","14.06","0%","0%","36","3,227","1","7","39","0","0","23","54","24","7","0","20","59","31","56","3","57","0","0","0","25","19"
"*02lol*","Harry Kane","TOT","F","6","McGinn","TOT 5<br/>@NOR 0 F","485","13.11","0%","0%","37","3,230","17","9","50","0","0","55","5","61","5","0","7","3","39","54","8","75","0","0","0","40","14"
"*04y92*","Bukayo Saka","ARS","M","7","HALE","EVE 1<br/>@ARS 5 F","453","11.92","100%","0%","38","2,970","11","7","68","1","0","31","21","47","6","0","11","22","21","43","2","23","0","2","0","39","13"
"*02oq8*","James Ward-Prowse","SOU","M","8","Noah B","SOU 1<br/>@LEI 4 F","450.75","12.52","32%","-6%","36","3,215","10","5","71","0","0","24","24","25","3","1","29","40","39","12","15","27","0","0","0","63","7"
"*05gcr*","Bruno Fernandes","MUN","M","9","ARA","MUN 0<br/>@CRY 1 F","444","12.33","100%","0%","36","3,108","10","6","89","0","0","29","28","40","10","0","20","17","41","26","0","19","2","0","0","54","8"
"*05os7*","Raphinha","LEE","M","10","Noah B","LEE 2<br/>@BRF 1 F","443.75","12.68","0%","0%","35","2,915","11","3","65","0","0","25","29","35","7","0","19","29","25","62","0","23","0","1","0","68","5"
"*046c5*","Jarrod Bowen","WHU","M","11","Laeka B","WHU 1<br/>@BHA 3 F","439.75","12.22","100%","0%","36","2,973","12","10","41","1","2","34","20","51","6","0","5","21","8","50","2","38","0","2","0","46","8"
"*0414o*","James Maddison","LEI","M","12","RyRob","SOU 1<br/>@LEI 4 F","402","11.49","43%","+6%","35","2,447","12","8","48","0","1","34","20","32","3","0","14","11","7","31","3","5","0","1","0","41","5"
"*052cd*","Mason Mount","CHE","M","13","YUM","WAT 1<br/>@CHE 2 F","400","12.5","17%","0%","32","2,352","11","10","58","1","0","29","16","34","4","0","14","13","11","18","1","6","0","0","0","25","11"
"*0435s*","Joel Matip","LIV","D","14","Laeka B","WOL 1<br/>@LIV 3 F","397.5","12.82","0%","0%","31","2,790","3","3","12","0","0","9","34","7","2","0","0","44","90","9","14","109","0","0","0","21","17"
"*03v6w*","Ivan Toney","BRF","F","15","Noah B","LEE 2<br/>@BRF 1 F","395.25","11.98","0%","0%","33","2,907","12","5","43","0","0","30","21","44","8","0","2","14","42","24","2","147","0","3","0","47","8"
"*03gu5*","Andrew Robertson","LIV","D","16","Noah B","WOL 1<br/>@LIV 3 F","394.25","13.59","22%","-8%","29","2,537","3","10","55","0","0","8","21","15","5","1","21","23","51","13","3","26","0","0","0","20","17"
