"Standings"
"Rk","Team","W","D","L","Points","Win%","WW","FPtsF","FPtsA","Streak"
"1","Leo Gerard U2s Team","25","0","13","75",".658","10","4,680.5","4,099","1 (L)"
"2","Berkley McG’s U1s","25","0","13","75",".658","3","4,660.25","3,932.25","5 (W)"
"3","Hale End Starbøys","25","0","13","75",".658","4","4,544","3,795.25","3 (L)"
"4","Gabriel’s Sparkling Cider","21","0","17","63",".553","7","3,945.5","3,984.25","4 (W)"
"5","The McB’s","20","0","18","60",".526","2","4,136.25","4,093.5","2 (W)"
"6","Gylfi’s Goobers","19","0","19","57",".500","5","4,202.25","4,200","1 (W)"
"7","team_tim","18","0","20","54",".474","9","3,923.25","4,108.75","1 (W)"
"8","Alex's Redemption Arc","13","0","25","39",".342","8","3,702.5","4,225","2 (L)"
"9","Roy Kent's U8 Girls","13","0","25","39",".342","1","3,357.75","4,178.25","2 (L)"
"10","Sean Dyche's Great Escape","11","0","27","33",".289","6","3,433.5","3,969.5","1 (L)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"Gabriel’s Sparkling Cider","121","Leo Gerard U2s Team","92.25"
"Hale End Starbøys","103.25","Berkley McG’s U1s","119.25"
"Gylfi’s Goobers","100.5","Roy Kent's U8 Girls","20.5"
"Alex's Redemption Arc","78","team_tim","141.5"
"Sean Dyche's Great Escape","102.5","The McB’s","110.75"

"Gameweek 37"
"Away","FPts","Home","FPts"
"Hale End Starbøys","87","Gabriel’s Sparkling Cider","113.75"
"Leo Gerard U2s Team","154.75","Gylfi’s Goobers","123"
"Berkley McG’s U1s","117.5","Alex's Redemption Arc","90.25"
"Roy Kent's U8 Girls","50","Sean Dyche's Great Escape","131.25"
"team_tim","77","The McB’s","225.5"

