"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKD","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","HCS","Sm","OG","SOT"
"*05udg*","Jose Sa","WOL","G","2","RyRob","WOL 1<br/>@LIV 3 F","17.5","17.5","13%","0%","1","90","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","0","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","12","FA","AVL 2<br/>@MCI 3 F","14","14","79%","-2%","1","90","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"*04sjt*","Alisson","LIV","G","1","DYCHE","WOL 1<br/>@LIV 3 F","14","14","56%","-2%","1","90","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fk5*","Ederson","MCI","G","7","RK U8","AVL 2<br/>@MCI 3 F","13","13","11%","0%","1","90","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"*05oje*","Edouard Mendy","CHE","G","11","HALE","WAT 1<br/>@CHE 2 F","12","12","0%","0%","1","90","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m4i*","Ben Foster","WAT","G","20","FA","WAT 1<br/>@CHE 2 F","11.5","11.5","0%","0%","1","90","0","1","2","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0"
"*02w72*","Hugo Lloris","TOT","G","3","I_am_Tim","TOT 5<br/>@NOR 0 F","10","10","0%","0%","1","90","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","6","Noah B","WHU 1<br/>@BHA 3 F","7.25","7.25","0%","0%","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*05uvu*","Alvaro Fernandez","BRF","G","22","FA","LEE 2<br/>@BRF 1 F","7.25","7.25","0%","0%","1","90","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*04rhc*","Vicente Guaita","CRY","G","15","FA","MUN 0<br/>@CRY 1 F","7.25","7.25","0%","0%","1","90","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
