"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*051k8*","Conor Gallagher","CRY","M","25","DYCHE","MUN 0<br/>@CRY 1 F","27.5","27.5","50%","+1%","1","90","1","0","4","0","0","1","2","1","0","0","2","2","0","1","0","0","0","0","0","0","1"
"*03srg*","Trent Alexander-Arnold","LIV","D","3","HALE","WOL 1<br/>@LIV 3 F","27.25","27.25","0%","0%","1","90","1","1","4","0","0","1","0","0","1","0","3","4","1","0","0","0","0","0","0","3","0"
"*0520r*","Leandro Trossard","BHA","M","34","Noah B","WHU 1<br/>@BHA 3 F","24.5","24.5","91%","+3%","1","90","1","0","3","0","0","3","1","2","0","0","1","0","1","0","0","0","0","1","0","1","0"
"*0570n*","Joao Cancelo","MCI","D","5","RK U8","AVL 2<br/>@MCI 3 F","23.75","23.75","0%","0%","1","90","0","1","1","0","0","2","2","0","1","0","1","1","0","2","0","0","0","0","0","0","1"
"*04e1e*","Ben White","ARS","D","121","I_am_Tim","EVE 1<br/>@ARS 5 F","22.25","22.25","70%","-1%","1","90","0","0","0","0","0","0","0","0","0","0","0","3","6","2","3","6","0","0","0","0","1"
"*05os7*","Raphinha","LEE","M","10","Noah B","LEE 2<br/>@BRF 1 F","21.75","21.75","0%","0%","1","90","1","0","4","0","0","1","0","1","1","0","0","2","1","2","0","1","0","0","0","1","0"
"*05tr9*","Mathias Jensen","BRF","M","189","ARA","LEE 2<br/>@BRF 1 F","20.5","20.5","50%","0%","1","90","0","0","7","0","0","0","0","2","0","0","3","0","0","4","0","1","0","0","0","2","0"
"*051k7*","Reece James","CHE","D","36","DYCHE","WAT 1<br/>@CHE 2 F","19.25","19.25","95%","+3%","1","90","0","1","5","0","0","0","1","2","1","0","3","0","0","2","0","1","0","0","0","1","0"
"*05w9r*","Takehiro Tomiyasu","ARS","D","182","FA","EVE 1<br/>@ARS 5 F","19","19","0%","0%","1","90","0","0","2","0","0","0","3","0","1","0","2","1","4","0","0","3","0","0","0","0","1"
"*051lc*","Pablo Fornals","WHU","M","55","DYCHE","WHU 1<br/>@BHA 3 F","18.5","18.5","0%","0%","1","90","1","0","2","0","0","1","0","1","0","0","0","1","1","1","0","3","0","0","0","2","0"
