"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","AER","AC","HCS","Sm","OG","SOT"
"*05tqx*","David Raya","BRF","G","1","thomas","MCI 0<br/>@BRF 1 F","411.54","10.83","99%","0%","38","38","3,420","1,080","46","154","1","0","5","0","0","0","0","0","0","0","0","2","0","1","1","20","13","0","50","2","1","0"
"*04qor*","Bernd Leno","FUL","G","2","DF","FUL 1<br/>@MUN 2 F","351.02","9.75","58%","+7%","36","36","3,240","720","51","144","3","0","3","1","0","0","0","0","0","0","0","1","0","0","0","26","11","0","30","8","0","0"
"*04sjt*","Alisson","LIV","G","3","AUTO REL","LIV 4<br/>@SOU 4 F","328.79","8.89","56%","-2%","37","37","3,330","1,260","43","108","1","0","5","1","0","0","0","0","0","1","0","1","0","0","0","37","11","0","22","9","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","4","YUM","BHA 1<br/>@AVL 2 F","307.28","8.54","79%","-2%","36","36","3,139","990","38","98","7","0","6","1","0","0","0","0","0","0","0","2","0","1","1","29","13","0","55","2","1","0"
"*044ei*","Nick Pope","NEW","G","5","Noah B","NEW 1<br/>@CHE 1 F","303.54","8.2","70%","+4%","37","37","3,261","1,260","32","87","3","1","2","2","0","0","0","0","0","0","0","2","0","0","0","46","4","0","30","10","0","0"
"*02ln1*","David de Gea","MUN","G","6","FA","FUL 1<br/>@MUN 2 F","301.3","7.93","0%","0%","38","38","3,420","1,530","43","101","0","0","5","1","0","0","0","0","0","0","0","1","0","1","1","27","5","0","14","1","0","0"
"*032f9*","Jordan Pickford","EVE","G","7","RyRob","BOU 0<br/>@EVE 1 F","296.27","8.01","95%","+1%","37","37","3,330","720","57","124","6","0","5","1","0","0","0","1","0","1","0","2","0","4","4","33","8","0","20","3","0","0"
"*05udg*","Jose Sa","WOL","G","8","Noah B","WOL 0<br/>@ARS 5 F","291.53","8.1","13%","0%","36","36","3,240","990","55","108","2","0","8","2","0","0","0","0","0","0","0","0","0","0","0","18","7","0","39","3","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","9","DDT","WHU 1<br/>@LEI 2 F","287.56","7.99","0%","0%","36","36","3,111","788","48","108","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","24","17","0","26","6","0","0"
"*04amh*","Aaron Ramsdale","ARS","G","10","j.l.","WOL 0<br/>@ARS 5 F","273.79","7.21","9%","-1%","38","38","3,420","1,260","43","95","1","0","4","0","0","0","1","0","0","0","0","0","0","0","0","34","7","0","17","4","0","0"
