"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*02lol*","Harry Kane","TOT","F","1","DDT","TOT 4<br/>@LEE 1 F","634.5","16.7","0%","0%","38","38","3,403","30","3","0","57","6","63","1","12","0","58","56","6","0","7","2","0","18","37","7","66","1","2","0","62","896"
"*05gcr*","Bruno Fernandes","MUN","M","2","RyRob","FUL 1<br/>@MUN 2 F","603.96","16.32","100%","0%","37","37","3,314","8","8","2","119","1","35","2","42","0","42","39","6","0","20","25","3","36","31","5","19","0","1","0","39","1,528"
"*03dx3*","Kieran Trippier","NEW","D","3","Laeka B","NEW 1<br/>@CHE 1 F","601.94","15.84","36%","+2%","38","38","3,340","1","7","1","110","2","4","1","49","0","9","29","5","0","54","42","2","75","19","15","49","0","0","1","31","1,260"
"*061vq*","Erling Haaland","MCI","F","4","AUTO REL","MCI 0<br/>@BRF 1 F","592.25","16.92","100%","0%","35","33","2,764","36","8","1","29","1","60","3","2","0","26","24","5","0","0","3","0","14","11","4","50","0","1","0","26","910"
"*04y92*","Bukayo Saka","ARS","M","5","DF","WOL 0<br/>@ARS 5 F","559.9","14.73","100%","0%","38","37","3,176","14","11","1","75","1","32","0","34","0","59","65","6","0","18","14","0","14","59","0","16","1","0","0","42","1,117"
"*03aqp*","Mohamed Salah","LIV","F","6","Laeka B","LIV 4<br/>@SOU 4 F","525","13.82","97%","0%","38","37","3,285","19","12","1","65","1","47","2","12","0","80","33","2","0","10","6","0","4","49","0","8","2","0","0","45","1,180"
"*02oox*","Kevin De Bruyne","MCI","M","7","011","MCI 0<br/>@BRF 1 F","523.78","16.37","0%","0%","32","28","2,409","7","16","1","98","2","21","1","12","0","29","29","1","0","39","9","0","10","30","2","13","0","2","0","23","678"
"*05r9b*","Martin Odegaard","ARS","M","8","011","WOL 0<br/>@ARS 5 F","510.88","13.81","96%","0%","37","37","3,120","15","7","1","76","1","33","0","23","0","45","26","4","0","16","6","0","12","48","5","14","0","0","0","38","1,093"
"*04e1k*","Solly March","BHA","M","9","DDT","BHA 1<br/>@AVL 2 F","503.44","15.26","1%","0%","33","31","2,711","7","7","0","67","3","34","0","31","0","32","39","2","0","24","24","1","29","57","3","30","0","0","0","40","828"
"*052h5*","Gabriel Martinelli","ARS","M","10","FA","WOL 0<br/>@ARS 5 F","478.17","13.28","45%","0%","36","34","2,785","15","5","0","59","4","32","1","18","0","56","37","3","0","14","9","0","10","59","1","15","0","0","0","33","1,074"
"*02oq8*","James Ward-Prowse","SOU","M","11","YUM","LIV 4<br/>@SOU 4 F","477.75","12.57","32%","-6%","38","38","3,371","9","4","2","74","0","20","1","37","0","22","19","6","0","34","55","4","45","7","10","44","2","0","1","72","360"
"*0414o*","James Maddison","LEI","M","12","YUM","WHU 1<br/>@LEI 2 F","463.2","15.44","43%","+6%","30","28","2,476","10","9","0","69","0","29","1","26","0","31","79","10","0","17","13","1","4","45","1","4","1","1","0","54","423"
"*03srg*","Trent Alexander-Arnold","LIV","D","13","RyRob","LIV 4<br/>@SOU 4 F","453.25","12.25","0%","0%","37","34","2,919","2","9","1","71","2","8","0","40","0","21","6","5","0","47","43","4","36","30","7","20","0","0","0","44","946"
"*03v6w*","Ivan Toney","BRF","F","14","FA","MCI 0<br/>@BRF 1 F","450.5","13.65","0%","0%","33","33","2,949","20","4","0","27","0","42","3","13","0","47","74","9","0","5","14","1","35","14","9","109","1","3","0","42","881"
"*05u94*","Michael Olise","CRY","M","15","Laeka B","NOT 1<br/>@CRY 1 F","447.49","12.09","0%","0%","37","31","2,736","2","11","0","72","0","14","2","34","0","47","69","2","0","32","26","2","13","54","1","18","0","0","0","38","607"
"*04fk1*","Pascal Gross","BHA","M","16","RK U8","BHA 1<br/>@AVL 2 F","442.17","11.95","74%","0%","37","37","3,238","9","8","2","80","0","19","0","38","0","18","18","7","0","20","13","0","18","16","10","10","0","0","1","51","984"
"*03ybi*","Marcus Rashford","MUN","F","17","Noah B","FUL 1<br/>@MUN 2 F","428.75","12.25","96%","0%","35","32","2,874","17","5","0","30","2","50","2","10","0","44","23","2","0","5","7","0","13","54","4","20","0","0","0","39","1,094"
"*05nt6*","Eberechi Eze","CRY","M","18","RyRob","NOT 1<br/>@CRY 1 F","426.08","11.21","98%","0%","38","30","2,620","10","4","0","57","1","26","0","24","0","54","57","3","0","11","13","1","8","68","0","19","0","1","0","35","638"
"*04qr9*","Morgan Gibbs-White","WOL/NOT","M","19","Laeka B","NOT 1<br/>@CRY 1 F","417.71","11.29","99%","0%","37","36","3,149","5","8","2","67","4","23","1","15","0","46","31","6","0","17","15","1","11","44","4","59","0","0","0","61","695"
"*05ocl*","Ollie Watkins","AVL","F","21","011","BHA 1<br/>@AVL 2 F","410.75","11.1","99%","0%","37","36","3,123","15","6","0","31","2","47","2","13","0","39","39","4","0","3","10","0","39","17","4","70","1","1","0","40","1,062"
"*03dx7*","Ben Mee","BRF","D","22","YUM","MCI 0<br/>@BRF 1 F","406.2","10.98","0%","0%","37","37","3,269","3","1","0","7","1","7","1","24","1","2","15","2","0","1","48","12","116","12","42","132","0","0","0","40","1,080"
"*0427d*","James Tarkowski","EVE","D","23","DDT","BOU 0<br/>@EVE 1 F","404.71","10.65","99%","0%","38","38","3,420","1","1","0","15","0","9","1","26","1","5","23","6","0","0","51","13","196","8","78","120","0","0","0","57","810"
"*05trb*","Bryan Mbeumo","BRF","F","24","DF","MCI 0<br/>@BRF 1 F","404.25","10.64","100%","0%","38","36","2,900","9","8","2","51","1","33","2","18","0","55","23","5","0","23","13","0","17","44","1","35","0","0","0","39","864"
"*046c5*","Jarrod Bowen","WHU","M","25","RyRob","WHU 1<br/>@LEI 2 F","403.79","10.63","100%","0%","38","36","3,228","6","5","0","48","4","24","2","16","0","55","69","2","0","12","36","2","18","35","9","34","1","3","0","50","792"
"*04tig*","Fabian Schar","NEW","D","26","RK U8","NEW 1<br/>@CHE 1 F","403","11.19","28%","0%","36","36","3,205","1","3","0","19","0","15","2","22","0","7","27","7","0","4","52","5","137","4","19","112","0","0","1","28","1,250"
"*03v9d*","Son Heung-Min","TOT","F","27","j.l.","TOT 4<br/>@LEE 1 F","402.25","11.17","10%","0%","36","33","2,882","10","6","2","61","0","40","3","12","0","55","36","2","0","13","13","0","4","32","2","9","0","0","0","55","684"
"*0522h*","Alexis Mac Allister","BHA","M","28","KFFC","BHA 1<br/>@AVL 2 F","401.18","11.46","85%","-2%","35","31","2,878","10","2","0","47","0","34","1","39","0","36","57","8","0","3","22","2","10","39","2","25","0","0","1","45","895"
"*038ze*","Alex Iwobi","EVE","M","29","KFFC","BOU 0<br/>@EVE 1 F","381.97","10.05","83%","+7%","38","38","3,377","2","7","0","64","1","15","0","37","0","42","15","2","0","20","25","0","28","55","2","10","0","1","0","56","808"
"*0554i*","Joelinton","NEW","M","30","FA","NEW 1<br/>@CHE 1 F","381.22","11.91","43%","+1%","32","30","2,656","6","1","0","26","4","20","3","49","0","51","34","12","0","4","48","3","38","52","7","66","0","1","0","26","1,056"
"*045c8*","Gabriel Jesus","ARS","F","31","thomas","WOL 0<br/>@ARS 5 F","369","14.19","10%","0%","26","24","2,059","11","6","1","31","1","32","2","25","0","65","56","6","0","2","11","0","13","43","3","45","0","2","0","23","801"
"*04p0d*","Dwight McNeil","EVE","M,F","32","j.l.","BOU 0<br/>@EVE 1 F","368.5","10.24","40%","-5%","36","28","2,484","7","3","0","49","2","15","0","41","0","45","21","5","0","20","31","2","32","53","7","14","0","1","0","46","501"
"*0520r*","Leandro Trossard","BHA/ARS","M","33","Noah B","WOL 0<br/>@ARS 5 F","368.03","10.22","91%","+3%","36","26","2,224","8","12","1","46","1","23","3","13","0","50","30","1","0","18","12","1","2","26","0","7","0","1","0","38","633"
"*062ci*","Kaoru Mitoma","BHA","M","34","Laeka B","BHA 1<br/>@AVL 2 F","367.37","11.13","91%","-1%","33","24","2,299","7","5","0","41","4","21","2","27","0","33","27","0","0","3","17","1","5","57","0","18","0","1","0","35","664"
"*04abb*","Phil Foden","MCI","M","35","011","MCI 0<br/>@BRF 1 F","366.04","11.44","97%","+5%","32","22","1,823","11","5","1","43","2","22","1","10","0","29","29","1","0","15","5","0","11","40","2","19","0","1","0","16","724"
"*04spp*","Douglas Luiz","AVL","M","36","KFFC","BHA 1<br/>@AVL 2 F","365.56","9.88","11%","-1%","37","33","2,918","6","6","1","45","1","12","0","42","0","33","42","6","1","7","40","2","21","23","7","25","0","0","0","33","1,019"
"*0435m*","Granit Xhaka","ARS","M","37","KFFC","WOL 0<br/>@ARS 5 F","354.55","9.58","80%","+1%","37","36","2,991","7","7","0","47","1","14","1","27","0","25","39","5","0","5","15","5","41","13","10","37","0","0","0","35","1,131"
"*05tr1*","Ethan Pinnock","BRF","D","38","011","MCI 0<br/>@BRF 1 F","353.71","11.79","3%","0%","30","30","2,700","3","0","1","8","0","9","0","28","2","7","10","0","0","3","35","6","214","2","31","105","0","0","1","34","900"
"*02lm7*","Jack Grealish","MCI","M","39","011","MCI 0<br/>@BRF 1 F","352.13","12.58","33%","-1%","28","23","2,047","5","7","0","50","3","16","1","16","0","29","78","4","0","8","7","0","7","45","3","14","0","1","0","16","732"
"*04agz*","Declan Rice","WHU","M","40","AUTO REL","WHU 1<br/>@LEI 2 F","351.49","9.5","100%","0%","37","36","3,271","4","2","0","37","1","9","1","38","0","26","11","5","0","6","63","6","55","35","15","37","1","0","0","50","810"
"*04spq*","Jack Harrison","LEE","M","42","Noah B","TOT 4<br/>@LEE 1 F","350.96","9.75","3%","0%","36","34","2,701","5","7","0","55","1","14","1","17","0","61","37","2","0","27","22","1","22","46","2","5","0","0","0","55","402"
"*04qr6*","Ruben Neves","WOL","M","43","DF","WOL 0<br/>@ARS 5 F","348.74","9.96","0%","0%","35","33","3,020","6","1","0","32","1","16","2","43","0","13","18","12","0","5","50","8","82","17","22","25","0","0","0","48","810"
"*051k3*","Jacob Ramsey","AVL","M","44","thomas","BHA 1<br/>@AVL 2 F","344.62","9.85","12%","+1%","35","31","2,628","6","7","0","42","1","13","0","39","0","37","45","5","0","4","23","2","29","30","8","16","0","0","1","33","844"
"*05tr9*","Mathias Jensen","BRF","M","45","j.l.","MCI 0<br/>@BRF 1 F","344.57","9.31","51%","0%","37","37","2,802","5","6","2","48","1","7","1","35","0","32","25","5","0","25","32","1","23","23","5","11","0","0","0","40","840"
"*05ylj*","Bruno Guimaraes","NEW","M","46","Noah B","NEW 1<br/>@CHE 1 F","342.73","10.71","100%","0%","32","32","2,725","4","5","1","42","0","8","2","40","0","60","83","7","0","2","36","5","19","44","4","19","0","0","0","25","1,102"
"*05oeh*","Kenny Tete","FUL","D","47","j.l.","FUL 1<br/>@MUN 2 F","338.87","10.93","32%","0%","31","29","2,563","1","5","0","23","0","5","0","46","0","24","54","8","0","23","52","5","73","21","17","33","0","0","0","36","639"
"*063zg*","Pervis Estupinan","BHA","D","48","thomas","BHA 1<br/>@AVL 2 F","337.17","9.63","93%","0%","35","31","2,671","1","5","0","51","2","5","0","31","0","29","26","4","0","26","37","4","35","19","8","36","0","1","0","43","809"
"*0524k*","Rodri","MCI","M","49","Laeka B","MCI 0<br/>@BRF 1 F","334.81","9.3","76%","-2%","36","34","2,908","2","6","1","32","0","14","1","41","0","19","20","5","0","3","33","4","42","25","14","72","0","0","0","26","1,019"
"*03r8x*","Callum Wilson","NEW","F","50","KFFC","NEW 1<br/>@CHE 1 F","334","10.77","16%","+4%","31","21","1,859","18","5","0","23","1","35","4","3","0","36","31","4","0","1","1","0","5","12","0","21","0","0","0","16","759"
"*05nzu*","Gabriel Magalhaes","ARS","D","51","j.l.","WOL 0<br/>@ARS 5 F","332.44","8.75","100%","0%","38","38","3,409","3","0","0","5","0","10","0","30","4","4","41","5","0","0","34","8","120","1","26","100","0","0","0","43","1,260"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","53","KFFC","TOT 4<br/>@LEE 1 F","326.74","9.34","0%","0%","35","35","3,131","4","5","0","30","0","9","0","30","0","35","36","5","0","7","49","2","58","30","17","27","0","0","0","57","900"
"*04ge6*","Joe Willock","NEW","M","54","DDT","NEW 1<br/>@CHE 1 F","324.57","9.27","2%","-1%","35","31","2,550","3","6","0","40","1","17","0","30","0","28","23","1","0","13","25","2","15","35","8","16","0","0","0","26","907"
"*05rb8*","Moises Caicedo","BHA","M","55","YUM","BHA 1<br/>@AVL 2 F","323.99","8.76","80%","0%","37","34","3,134","1","1","0","43","0","8","1","50","0","23","54","10","0","8","56","1","25","27","7","37","0","0","0","47","945"
"*04f67*","Philip Billing","BOU","M","56","DF","BOU 0<br/>@EVE 1 F","321.3","8.92","0%","0%","36","34","2,759","7","1","0","26","1","18","1","36","0","35","35","5","0","6","31","2","50","24","8","52","0","0","0","54","680"
"*04yo6*","Miguel Almiron","NEW","M","57","RK U8","NEW 1<br/>@CHE 1 F","319.56","9.4","0%","0%","34","29","2,480","11","2","0","26","2","21","1","30","0","28","33","2","0","5","10","0","13","32","2","6","0","0","0","22","1,064"
"*05oyq*","Said Benrahma","WHU","M","58","RyRob","WHU 1<br/>@LEI 2 F","319.54","9.13","0%","0%","35","22","2,046","6","3","0","48","0","27","2","15","0","42","15","0","0","14","9","2","11","51","1","5","0","0","0","32","567"
"*03dyp*","Riyad Mahrez","MCI","F","59","011","MCI 0<br/>@BRF 1 F","318.75","10.62","0%","0%","30","22","1,904","5","10","1","52","2","13","1","14","0","27","42","2","0","12","9","0","2","24","1","9","0","0","0","23","574"
"*02oq6*","Luke Shaw","MUN","D","60","FA","FUL 1<br/>@MUN 2 F","318.07","10.26","54%","+3%","31","30","2,551","1","2","1","34","2","4","0","36","0","8","27","8","0","19","36","5","53","13","17","46","0","0","0","35","1,094"
"*0435t*","Ilkay Gundogan","MCI","M","61","011","MCI 0<br/>@BRF 1 F","316.1","10.2","1%","0%","31","27","2,343","8","4","2","37","2","20","2","18","0","27","25","0","0","5","20","0","12","16","3","20","1","2","0","20","775"
"*05gcp*","Tomas Soucek","WHU","M","62","FA","WHU 1<br/>@LEI 2 F","314.68","8.74","43%","-3%","36","32","2,807","2","3","0","15","1","13","1","37","0","18","16","3","0","7","54","4","68","2","17","114","0","0","0","42","714"
"*03gu5*","Andrew Robertson","LIV","D","63","Laeka B","LIV 4<br/>@SOU 4 F","313.32","9.22","22%","-8%","34","29","2,575","0","8","1","52","0","4","0","21","0","7","10","3","0","31","18","4","43","15","5","22","0","0","0","34","863"
"*03jly*","Andreas Pereira","FUL","M","64","FA","FUL 1<br/>@MUN 2 F","311.41","9.44","7%","0%","33","33","2,688","4","6","1","60","4","23","4","9","0","51","31","8","0","25","6","0","8","17","3","9","0","0","0","40","645"
"*04abn*","Harvey Barnes","LEI","M","65","Noah B","WHU 1<br/>@LEI 2 F","309.02","9.09","69%","+9%","34","32","2,707","13","1","0","19","1","34","0","14","0","42","37","3","0","7","8","0","10","26","1","29","0","0","0","51","542"
"*02lsa*","Dan Burn","NEW","D","67","DF","NEW 1<br/>@CHE 1 F","305.56","8.04","75%","+1%","38","35","3,104","1","0","0","16","0","4","1","38","1","9","4","5","0","3","32","3","103","11","16","85","0","0","0","30","1,167"
"*0647t*","Lucas Paqueta","WHU","M","68","RyRob","WHU 1<br/>@LEI 2 F","304.79","10.89","32%","0%","28","27","2,150","4","3","0","32","2","16","1","53","0","44","30","5","0","4","16","2","31","32","4","36","0","2","0","39","477"
"*03sgc*","Jordan Ayew","CRY","F","70","RK U8","NOT 1<br/>@CRY 1 F","302","7.95","0%","0%","38","31","2,699","4","3","0","31","0","11","1","41","0","83","90","5","0","10","15","0","30","64","4","51","0","0","0","41","727"
"*061yd*","Ivan Perisic","TOT","D","72","RyRob","TOT 4<br/>@LEE 1 F","297.19","8.74","0%","0%","34","23","2,086","1","8","0","48","0","8","1","24","0","14","8","6","0","33","22","2","42","17","7","34","0","0","0","44","511"
"*03rzp*","Antonee Robinson","FUL","D","73","Noah B","FUL 1<br/>@MUN 2 F","296.46","8.47","72%","+7%","35","35","3,088","0","1","0","21","1","0","1","38","0","20","23","8","0","33","53","3","76","38","13","40","0","0","0","44","810"
"*04e1e*","Ben White","ARS","D","75","DF","WOL 0<br/>@ARS 5 F","293.65","7.73","70%","-1%","38","36","3,051","2","5","1","26","0","3","0","31","0","7","30","5","0","15","22","0","75","8","11","33","0","0","0","35","1,197"
"*0642l*","Casemiro","MUN","M","76","thomas","FUL 1<br/>@MUN 2 F","291.99","10.43","82%","0%","28","24","2,116","4","3","1","28","0","11","1","46","0","14","24","7","2","4","34","3","60","9","11","56","0","0","0","21","968"
"*03vlj*","Virgil van Dijk","LIV","D","78","RK U8","LIV 4<br/>@SOU 4 F","291.46","9.11","100%","0%","32","32","2,835","3","1","0","7","0","10","0","14","0","0","3","3","0","0","31","8","135","1","16","98","0","0","0","36","990"
"*03scr*","Aleksandar Mitrovic","FUL","F","79","RK U8","FUL 1<br/>@MUN 2 F","290.5","12.1","0%","0%","24","23","2,001","14","1","0","16","1","35","1","7","0","58","40","7","0","1","3","0","20","23","5","100","4","2","0","30","632"
"*05o6h*","Kai Havertz","CHE","F","81","YUM","NEW 1<br/>@CHE 1 F","284.75","8.14","76%","-1%","35","30","2,560","7","1","0","38","0","33","1","16","0","36","25","5","0","3","7","0","39","17","0","79","0","0","0","31","812"
"*062a9*","Sven Botman","NEW","D","82","FA","NEW 1<br/>@CHE 1 F","284.43","7.9","49%","+5%","36","35","3,127","0","0","0","9","2","7","0","24","0","2","12","2","0","1","34","4","120","1","24","77","0","0","0","30","1,147"
"*037mo*","Willian","ARS/FUL","F","83","RK U8","FUL 1<br/>@MUN 2 F","284.25","10.53","0%","0%","27","25","2,124","5","5","0","51","2","18","1","8","0","25","24","2","0","4","9","0","8","37","0","9","0","0","0","22","635"
"*05o4c*","Timothy Castagne","LEI","D","84","AUTO REL","WHU 1<br/>@LEI 2 F","283.47","7.66","18%","+4%","37","36","3,253","2","3","1","22","1","6","0","44","0","17","15","3","0","15","43","3","94","10","13","55","0","0","0","63","630"
"*04tzt*","Jefferson Lerma","BOU","M","85","KFFC","BOU 0<br/>@EVE 1 F","282.88","7.65","22%","-4%","37","37","3,252","5","0","0","18","0","12","0","30","0","17","33","7","0","2","47","3","88","13","15","62","0","0","1","67","665"
"*03fgo*","Dominic Solanke","BOU","F","86","Noah B","BOU 0<br/>@EVE 1 F","282","8.55","62%","-4%","33","32","2,854","6","7","0","21","3","29","1","9","0","74","53","2","0","1","6","1","43","41","7","52","0","0","0","52","710"
"*062dt*","Joao Palhinha","FUL","M","87","RK U8","FUL 1<br/>@MUN 2 F","279.66","7.99","42%","0%","35","35","3,108","3","0","0","7","0","9","0","83","1","28","50","14","0","0","46","3","59","14","5","72","0","0","1","43","780"
"*051kl*","Emiliano Buendia","AVL","M","88","FA","BHA 1<br/>@AVL 2 F","276.39","7.27","30%","+1%","38","27","2,393","5","2","1","41","1","12","4","23","0","58","44","0","0","1","20","4","13","27","2","23","0","0","0","34","801"
"*04qfz*","Diogo Dalot","MUN","D","89","thomas","FUL 1<br/>@MUN 2 F","276.3","10.63","83%","-2%","26","24","2,150","1","2","0","29","0","7","1","41","0","5","3","6","0","14","37","5","52","18","7","39","0","0","0","34","902"
"*061x2*","Darwin Nunez","LIV","F","90","AUTO REL","LIV 4<br/>@SOU 4 F","275","9.48","2%","0%","29","19","1,675","9","3","0","28","2","37","4","5","0","27","17","1","1","1","3","0","12","17","0","36","0","1","0","22","694"
"*061ya*","Brennan Johnson","NOT","F","92","DF","NOT 1<br/>@CRY 1 F","273.25","7.19","54%","-1%","38","33","2,923","8","3","1","28","2","27","2","20","0","25","21","6","0","10","5","0","4","31","1","18","2","1","0","54","558"
"*03yq8*","Demarai Gray","EVE","M","93","RyRob","BOU 0<br/>@EVE 1 F","270.29","8.19","0%","0%","33","27","2,493","4","1","0","37","0","24","0","24","0","66","51","3","0","23","13","0","15","31","3","13","0","0","0","39","567"
"*04yo7*","Youri Tielemans","LEI","M","94","DF","WHU 1<br/>@LEI 2 F","267.85","8.64","85%","-3%","31","27","2,335","3","2","0","30","1","10","2","39","0","15","25","4","0","9","28","1","24","23","8","26","1","0","0","49","572"
"*05ylx*","Dejan Kulusevski","TOT","M","95","j.l.","TOT 4<br/>@LEE 1 F","265.75","8.86","30%","0%","30","23","2,051","2","7","0","47","0","10","0","15","0","52","25","2","0","14","13","1","7","50","0","4","0","0","0","40","518"
"*0327v*","Wilfried Zaha","CRY","F","96","FA","NOT 1<br/>@CRY 1 F","265","9.81","0%","0%","27","27","2,289","7","2","2","26","0","22","2","20","0","82","77","5","0","6","16","2","6","51","1","6","2","1","0","34","460"
"*05gcc*","Kiernan Dewsbury-Hall","LEI","M","97","YUM","WHU 1<br/>@LEI 2 F","261.52","8.44","87%","0%","31","28","2,302","2","2","0","39","1","6","0","29","0","32","35","3","1","8","28","1","21","38","13","15","0","0","0","40","475"
"*03rec*","Tyrone Mings","AVL","D","98","RK U8","BHA 1<br/>@AVL 2 F","261.2","7.46","12%","-1%","35","35","3,150","1","2","0","5","1","2","0","7","0","7","22","7","0","1","54","12","158","6","21","62","0","1","1","40","1,080"
"*05tqz*","Rico Henry","BRF","D","99","DF","MCI 0<br/>@BRF 1 F","260.19","7.03","2%","0%","37","37","3,236","0","2","0","23","1","4","0","31","0","44","38","4","0","24","30","4","69","25","8","40","0","1","0","46","984"
"*050jq*","Marc Guehi","CRY","D","100","DF","NOT 1<br/>@CRY 1 F","259.88","7.02","98%","0%","37","37","3,328","1","0","0","10","0","6","0","27","2","7","40","8","0","0","45","8","132","14","24","54","0","0","1","46","808"
"*051k0*","John McGinn","AVL","M","101","RyRob","BHA 1<br/>@AVL 2 F","259.11","7.62","69%","0%","34","30","2,683","1","3","1","18","2","11","1","36","0","35","66","7","0","9","24","1","15","44","4","22","0","2","0","31","911"
"*062ot*","Cheick Doucoure","CRY","M","102","FA","NOT 1<br/>@CRY 1 F","253.53","7.46","1%","0%","34","34","2,767","0","3","0","26","0","7","0","46","0","20","13","8","1","2","56","6","47","15","13","30","0","0","0","41","656"
