"Standings"
"Rk","Team","W","D","L","Points","Win%","Div","WW","FPtsF","FPtsA","Streak"
"1","2-Greek Prison XI","29","0","8","87",".784","29-8-0","","4,186.478","3,634.35","1 (W)"
"2","1-Vecna's Møst Hated XI","27","0","10","81",".730","27-10-0","","4,636.463","4,011.915","2 (W)"
"3","1-Leo Gerard U3s Team","25","0","12","75",".676","25-12-0","","4,639.08","4,050.758","7 (W)"
"4","1-Commissioner Gordon & the Tark Knight","24","0","13","72",".649","24-13-0","","4,444.032","4,148.261","2 (L)"
"5","1-TAAp in Merchants","24","0","13","72",".649","24-13-0","","4,258.357","3,944.539","1 (L)"
"6","2-Lets Ride","24","0","13","72",".649","24-13-0","","4,158.979","3,521.339","5 (W)"
"7","1-Jesus live at Red Rocks","23","0","14","69",".622","23-14-0","","4,340.278","3,868.134","5 (W)"
"8","2-FC Bofa","23","0","14","69",".622","23-14-0","","3,923.314","3,583.731","3 (W)"
"9","2-100 Virgils","21","0","16","63",".568","21-16-0","","3,874.09","3,676.112","1 (L)"
"10","2-Diego Luna Fan Page","20","0","17","60",".541","20-17-0","","3,729.786","3,559.294","1 (L)"
"11","1-Drafted@3am FC","18","0","19","54",".486","18-19-0","","4,037.685","3,804.84","1 (W)"
"12","2-FC Becky-Lowe-Na","18","0","19","54",".486","18-19-0","","3,828.75","3,852.21","1 (W)"
"13","2-Diamond Dogs","18","0","19","54",".486","18-19-0","","3,609.04","3,729.96","4 (W)"
"14","2-We Don’t Talk About Bruno","18","0","19","54",".486","18-19-0","","3,460.285","3,674.705","1 (L)"
"15","2-Kyle Walker’s Party Planners","16","0","21","48",".432","16-21-0","","3,791.194","3,652.656","2 (L)"
"16","1-john lim","15","0","22","45",".405","15-22-0","","3,825.357","4,126.221","3 (L)"
"17","2-Campbell's FC","15","0","22","45",".405","15-22-0","","3,623.474","3,819.195","3 (L)"
"18","1-Mystery Box U0s","14","0","23","42",".378","14-23-0","","3,735.56","3,799.2","5 (W)"
"19","1-Autodraft Relegated FC","14","0","23","42",".378","14-23-0","","3,420.471","3,976.507","4 (L)"
"20","1-Midtable Merchant","13","0","24","39",".351","13-24-0","","3,754.098","4,080.525","9 (L)"
"21","1- KFFC","13","0","24","39",".351","13-24-0","","3,405.354","4,067.122","1 (W)"
"22","1-Roy Kent's U8 Girls","12","0","25","36",".324","12-25-0","","3,349.276","3,967.989","1 (L)"
"23","2-Lads FC","11","0","26","33",".297","11-26-0","","2,906.237","3,376.646","1 (W)"
"24","2-Soccer F.C","9","0","28","27",".243","9-28-0","","2,795.828","3,807.257","13 (L)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"1-Autodraft Relegated FC","48.999","1-Drafted@3am FC","127.897"
"2-Kyle Walker’s Party Planners","83.25","2-Diamond Dogs","118.066"
"2-Lads FC","135.453","2-Diego Luna Fan Page","93.5"
"2-FC Becky-Lowe-Na","97.242","2-Campbell's FC","89.25"
"2-We Don’t Talk About Bruno","104.403","2-Greek Prison XI","127.57"
"1-Jesus live at Red Rocks","141.752","1-TAAp in Merchants","115.708"
"1-john lim","84.498","1-Leo Gerard U3s Team","122.5"
"1-Midtable Merchant","71.75","1- KFFC","108.32"
"1-Vecna's Møst Hated XI","161.317","1-Commissioner Gordon & the Tark Knight","158.495"
"1-Mystery Box U0s","102.492","1-Roy Kent's U8 Girls","55.499"
"2-100 Virgils","77.746","2-Lets Ride","94.249"
"2-FC Bofa","75.503","2-Soccer F.C","21"

"Gameweek 37"
"Away","FPts","Home","FPts"
"1-Autodraft Relegated FC","66.232","1-Jesus live at Red Rocks","166.783"
"2-Diego Luna Fan Page","134.741","2-Greek Prison XI","116.284"
"1-Roy Kent's U8 Girls","126.996","1-Drafted@3am FC","117.741"
"2-Lads FC","97.125","2-100 Virgils","113.426"
"2-FC Becky-Lowe-Na","87.621","2-We Don’t Talk About Bruno","103.249"
"2-Lets Ride","130.991","2-Soccer F.C","51.5"
"1-john lim","98.996","1-Mystery Box U0s","120.995"
"1-Vecna's Møst Hated XI","134.245","1-Midtable Merchant","112.252"
"1-Commissioner Gordon & the Tark Knight","119.973","1-TAAp in Merchants","178.693"
"2-Campbell's FC","103.168","2-Diamond Dogs","118.999"
"1-Leo Gerard U3s Team","159.997","1- KFFC","106.75"
"2-FC Bofa","192.996","2-Kyle Walker’s Party Planners","91.994"

