"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","AER","AC","HCS","Sm","OG","SOT"
"*02t1a*","Danny Ward","LEI","G","17","FA","WHU 1<br/>@LEI 2 F","18.75","18.75","0%","0%","1","1","90","90","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","9","DDT","WHU 1<br/>@LEI 2 F","15","15","0%","0%","1","1","90","0","2","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*04qor*","Bernd Leno","FUL","G","2","DF","FUL 1<br/>@MUN 2 F","14.25","14.25","58%","+7%","1","1","90","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*02ln1*","David de Gea","MUN","G","6","FA","FUL 1<br/>@MUN 2 F","13.75","13.75","0%","0%","1","1","90","0","1","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*04vy4*","Mark Travers","BOU","G","27","FA","BOU 0<br/>@EVE 1 F","13.25","13.25","1%","0%","1","1","90","90","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"*05tqx*","David Raya","BRF","G","1","thomas","MCI 0<br/>@BRF 1 F","13","13","99%","0%","1","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"*04amh*","Aaron Ramsdale","ARS","G","10","j.l.","WOL 0<br/>@ARS 5 F","12.5","12.5","9%","-1%","1","1","90","90","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"*04fk5*","Ederson","MCI","G","18","FA","MCI 0<br/>@BRF 1 F","10.25","10.25","11%","0%","1","1","90","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0"
"*044ei*","Nick Pope","NEW","G","5","Noah B","NEW 1<br/>@CHE 1 F","8.5","8.5","70%","+4%","1","1","90","90","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"*04sjt*","Alisson","LIV","G","3","AUTO REL","LIV 4<br/>@SOU 4 F","8.25","8.25","56%","-2%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","7","RyRob","BOU 0<br/>@EVE 1 F","7","7","95%","+1%","1","1","90","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"*03yww*","Dean Henderson","NOT","G","19","FA","NOT 1<br/>@CRY 1 F","6.25","6.25","89%","-1%","1","1","90","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*05oje*","Edouard Mendy","CHE","G","26","FA","NEW 1<br/>@CHE 1 F","6.25","6.25","0%","0%","1","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0"
"*055c3*","Gavin Bazunu","SOU","G","16","FA","LIV 4<br/>@SOU 4 F","6","6","0%","0%","1","1","90","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"*04rhc*","Vicente Guaita","CRY","G","13","RK U8","NOT 1<br/>@CRY 1 F","5.5","5.5","0%","0%","1","1","90","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0","0"
"*05mzt*","Illan Meslier","LEE","G","14","FA","TOT 4<br/>@LEE 1 F","5.25","5.25","2%","0%","1","1","90","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","2","1","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","4","YUM","BHA 1<br/>@AVL 2 F","3.5","3.5","79%","-2%","1","1","90","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","1","0","0","0"
"*02w72*","Hugo Lloris","TOT","G","15","FA","TOT 4<br/>@LEE 1 F","2.5","2.5","0%","0%","1","1","90","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","0"
"*05udg*","Jose Sa","WOL","G","8","Noah B","WOL 0<br/>@ARS 5 F","1.5","1.5","13%","0%","1","1","90","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0"
"*045ob*","Caoimhin Kelleher","LIV","G","38","Laeka B","LIV 4<br/>@SOU 4 F","0","0","91%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mr4*","Martin Dubravka","NEW/MUN","G","32","YUM","NEW 1<br/>@CHE 1 F","0","0","29%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
