"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*05u94*","Michael Olise","CRY","M","15","Laeka B","NOT 1<br/>@CRY 1 F","25.72","25.72","0%","0%","1","1","87","0","2","0","3","0","0","0","2","0","1","4","0","0","0","1","0","0","1","0","1","0","0","0","0","87"
"*03v6w*","Ivan Toney","BRF","F","14","FA","MCI 0<br/>@BRF 1 F","25.25","25.25","0%","0%","1","1","88","1","1","0","2","0","1","0","0","0","2","3","0","0","0","1","0","1","0","2","5","0","0","0","0","88"
"*05r9b*","Martin Odegaard","ARS","M","8","011","WOL 0<br/>@ARS 5 F","24.5","24.5","96%","0%","1","1","86","1","1","0","3","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0"
"*062dt*","Joao Palhinha","FUL","M","87","RK U8","FUL 1<br/>@MUN 2 F","24.25","24.25","42%","0%","1","1","90","1","0","0","0","0","1","0","3","0","1","3","0","0","0","4","0","4","0","1","3","0","0","0","1","0"
"*04spp*","Douglas Luiz","AVL","M","36","KFFC","BHA 1<br/>@AVL 2 F","23.9","23.9","11%","-1%","1","1","81","1","0","0","1","0","3","0","1","0","0","2","0","0","0","2","0","1","1","0","0","0","0","0","0","81"
"*03dx3*","Kieran Trippier","NEW","D","3","Laeka B","NEW 1<br/>@CHE 1 F","22.5","22.5","36%","+2%","1","1","90","0","0","0","6","0","0","0","3","0","0","1","1","0","1","1","0","0","0","0","2","0","0","0","0","90"
"*05nt6*","Eberechi Eze","CRY","M","18","RyRob","NOT 1<br/>@CRY 1 F","22.31","22.31","98%","0%","1","1","73","1","0","0","3","0","2","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","73"
"*03dyp*","Riyad Mahrez","MCI","F","59","011","MCI 0<br/>@BRF 1 F","21","21","0%","0%","1","1","90","0","1","0","5","0","1","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","13","RyRob","LIV 4<br/>@SOU 4 F","20.5","20.5","0%","0%","1","1","85","0","0","0","2","1","0","0","3","0","1","1","0","0","2","4","1","0","1","0","0","0","0","0","1","0"
"*05oh2*","Thiago Alcantara","LIV","M","263","DF","LIV 4<br/>@SOU 4 F","19.5","19.5","0%","0%","1","1","90","0","0","0","2","0","0","0","3","0","1","6","0","0","0","3","2","0","3","1","0","0","0","0","1","0"
"*05gcr*","Bruno Fernandes","MUN","M","2","RyRob","FUL 1<br/>@MUN 2 F","18.98","18.98","100%","0%","1","1","88","0","1","0","4","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","88"
"*05gcc*","Kiernan Dewsbury-Hall","LEI","M","97","YUM","WHU 1<br/>@LEI 2 F","18.75","18.75","87%","0%","1","1","90","1","0","0","0","0","1","0","2","0","0","2","0","0","2","0","0","1","2","0","0","0","0","0","2","0"
"*052h5*","Gabriel Martinelli","ARS","M","10","FA","WOL 0<br/>@ARS 5 F","18.75","18.75","45%","0%","1","1","90","1","0","0","0","1","2","0","1","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0"
"*051kl*","Emiliano Buendia","AVL","M","88","FA","BHA 1<br/>@AVL 2 F","18.65","18.65","30%","+1%","1","1","81","1","0","0","2","0","1","0","1","0","2","0","0","0","0","1","0","1","1","0","0","0","0","0","0","81"
"*05mzx*","Liam Cooper","LEE","D","230","thomas","TOT 4<br/>@LEE 1 F","18","18","0%","0%","1","1","90","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","1","6","0","0","3","0","0","0","0","90"
"*04qr0*","Willy Boly","WOL/NOT","D","362","DDT","NOT 1<br/>@CRY 1 F","17.25","17.25","0%","0%","1","1","90","0","1","0","1","0","0","0","2","0","0","0","0","0","0","2","0","5","0","1","1","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","5","DF","WOL 0<br/>@ARS 5 F","16.5","16.5","100%","0%","1","1","90","1","0","0","1","0","1","0","2","0","0","0","1","0","0","2","0","2","0","0","0","0","0","0","2","0"
"*03sgc*","Jordan Ayew","CRY","F","70","RK U8","NOT 1<br/>@CRY 1 F","16.5","16.5","0%","0%","1","1","73","1","0","0","0","0","1","0","2","0","1","6","0","0","0","0","0","0","0","0","1","0","0","0","0","73"
"*05oeh*","Kenny Tete","FUL","D","47","j.l.","FUL 1<br/>@MUN 2 F","16.25","16.25","32%","0%","1","1","90","0","1","0","1","0","0","0","2","0","1","1","0","0","0","2","1","2","0","0","1","0","0","0","1","0"
"*02oq8*","James Ward-Prowse","SOU","M","11","YUM","LIV 4<br/>@SOU 4 F","16.25","16.25","32%","-6%","1","1","90","1","0","0","1","0","1","0","3","0","0","0","0","0","0","2","0","0","0","0","4","0","0","1","2","0"
"*04kj7*","Serge Aurier","TOT/NOT","D","141","DF","NOT 1<br/>@CRY 1 F","15.25","15.25","0%","0%","1","1","90","1","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","3","0","0","1","0","0","0","1","0"
"*05tr8*","Christian Norgaard","BRF","M","149","FA","MCI 0<br/>@BRF 1 F","15.25","15.25","7%","0%","1","1","90","0","0","0","1","1","1","0","1","0","0","2","0","0","0","1","1","4","0","1","0","0","0","0","0","90"
"*05ocl*","Ollie Watkins","AVL","F","21","011","BHA 1<br/>@AVL 2 F","14.5","14.5","99%","0%","1","1","90","0","1","0","3","0","0","0","0","0","1","1","0","0","0","0","0","2","1","0","3","0","0","0","0","90"
"*02lkp*","Raheem Sterling","CHE","F","124","RyRob","NEW 1<br/>@CHE 1 F","14.5","14.5","1%","0%","1","1","72","1","0","0","1","0","1","0","0","0","2","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0"
"*0524k*","Rodri","MCI","M","49","Laeka B","MCI 0<br/>@BRF 1 F","14.25","14.25","76%","-2%","1","1","90","0","0","0","4","0","0","0","3","0","1","2","0","0","0","1","0","1","0","0","1","0","0","0","1","0"
"*03rxa*","Idrissa Gueye","EVE","M","112","AUTO REL","BOU 0<br/>@EVE 1 F","14","14","19%","-4%","1","1","77","0","1","0","2","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","1","0"
"*04ge9*","Eddie Nketiah","ARS","F","267","011","WOL 0<br/>@ARS 5 F","14","14","3%","0%","1","1","90","1","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","2","0"
"*061x2*","Darwin Nunez","LIV","F","90","AUTO REL","LIV 4<br/>@SOU 4 F","14","14","2%","0%","1","1","90","0","0","0","2","1","2","1","0","0","2","3","0","0","0","0","0","2","0","0","1","0","0","0","1","0"
"*04adp*","Aaron Wan-Bissaka","MUN","D","203","thomas","FUL 1<br/>@MUN 2 F","13.75","13.75","46%","0%","1","1","90","0","0","0","1","0","0","0","1","0","1","1","0","0","0","4","0","2","0","1","0","0","0","0","0","90"
"*05up6*","Raphael Varane","MUN","D","247","FA","FUL 1<br/>@MUN 2 F","13.75","13.75","0%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","3","4","0","0","0","0","90"
"*05vyj*","Evan Ferguson","BHA","F","251","DDT","BHA 1<br/>@AVL 2 F","13.5","13.5","94%","0%","1","0","29","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0"
"*0554i*","Joelinton","NEW","M","30","FA","NEW 1<br/>@CHE 1 F","13.5","13.5","43%","+1%","1","1","90","0","0","0","2","0","1","0","2","0","2","1","0","0","0","1","0","1","1","1","2","0","0","0","0","90"
"*05tr1*","Ethan Pinnock","BRF","D","38","011","MCI 0<br/>@BRF 1 F","13.5","13.5","3%","0%","1","1","90","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","14","0","1","1","0","0","0","0","90"
"*062ft*","Tyrell Malacia","MUN","D","248","j.l.","FUL 1<br/>@MUN 2 F","13.5","13.5","0%","0%","1","1","90","0","0","0","1","0","0","0","0","0","0","1","0","0","1","2","1","7","0","0","1","0","0","0","0","90"
"*03ybi*","Marcus Rashford","MUN","F","17","Noah B","FUL 1<br/>@MUN 2 F","13.25","13.25","92%","0%","1","0","45","1","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","45"
"*050jq*","Marc Guehi","CRY","D","100","DF","NOT 1<br/>@CRY 1 F","13.25","13.25","98%","0%","1","1","90","0","0","0","0","0","1","0","2","0","0","1","0","0","0","1","0","4","0","1","1","0","0","0","0","90"
"*04fk1*","Pascal Gross","BHA","M","16","RK U8","BHA 1<br/>@AVL 2 F","12.75","12.75","74%","0%","1","1","90","0","1","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"*061va*","Boubacar Kamara","AVL","M","258","FA","BHA 1<br/>@AVL 2 F","12.75","12.75","7%","0%","1","1","90","0","0","0","1","0","0","0","2","0","2","4","0","0","0","3","0","0","1","1","1","0","0","0","0","90"
