"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","CoS","AER","AC","HCS","Sm","OG","SOT"
"*06dps*","Andre Onana","MUN","G","1","RDN","MUN 2<br/>@BHA 0 F","354.03","9.32","3%","0%","38","38","3,420","810","58","149","5","0","4","0","0","0","0","0","0","0","0","3","0","0","0","24","1","14","0","36","5","0","0"
"*05udg*","Jose Sa","WOL","G","2","j.l.","WOL 0<br/>@LIV 2 F","317.76","9.08","13%","0%","35","35","3,037","360","58","134","1","0","9","0","0","0","0","1","0","1","0","1","0","0","0","31","3","13","0","37","8","0","0"
"*032f9*","Jordan Pickford","EVE","G","3","Slab","EVE 1<br/>@ARS 2 F","306.54","8.07","95%","+1%","38","38","3,420","1,170","51","121","5","0","6","0","0","0","0","0","0","0","0","4","0","0","0","34","1","1","0","26","6","1","0"
"*05oef*","Alphonse Areola","WHU","G","4","W’s","WHU 1<br/>@MCI 3 F","305.51","9.86","8%","0%","31","31","2,698","360","53","138","1","0","3","2","0","0","1","0","0","0","0","0","0","1","1","27","1","12","0","20","4","1","0"
"*04qor*","Bernd Leno","FUL","G","5","RyRob","FUL 4<br/>@LUT 2 F","290.53","7.65","58%","+7%","38","38","3,420","900","61","134","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","32","0","12","0","16","2","1","0"
"*06clu*","Mark Flekken","BRF","G","6","BBFC","NEW 4<br/>@BRF 2 F","284.27","7.68","0%","0%","37","37","3,285","630","63","115","3","0","4","0","0","0","1","0","0","1","0","4","0","0","0","40","3","10","0","40","3","0","0"
"*06cmb*","Guglielmo Vicario","TOT","G","7","FA","TOT 3<br/>@SHU 0 F","270.52","7.12","34%","-1%","38","38","3,420","630","61","110","2","0","8","0","0","0","0","0","0","0","0","0","0","1","1","46","0","21","0","30","4","0","0"
"*063e3*","Neto","BOU","G","8","MID","BOU 1<br/>@CHE 2 F","259.52","8.11","1%","0%","32","32","2,880","630","55","115","5","0","0","1","0","0","0","0","0","0","0","0","0","1","1","38","2","9","0","20","7","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","9","FA","AVL 0<br/>@CRY 5 F","237.52","6.99","79%","-2%","34","34","3,015","720","48","95","4","0","7","0","0","0","0","0","0","0","0","2","0","0","0","16","0","5","0","42","5","2","0"
"*06ewr*","Thomas Kaminski","LUT","G","10","FA","FUL 4<br/>@LUT 2 F","233.26","6.14","0%","0%","38","38","3,405","180","85","145","3","0","3","0","0","0","1","0","0","0","0","1","0","0","0","22","2","4","0","15","4","0","0"
"*05tqx*","David Raya","BRF/ARS","G","11","CC FC","EVE 1<br/>@ARS 2 F","223.55","6.99","99%","0%","32","32","2,880","1,440","24","46","2","0","4","1","0","0","1","0","0","0","0","0","0","0","0","13","0","5","0","35","1","0","0"
"*04sjt*","Alisson","LIV","G","12","CmBk","WOL 0<br/>@LIV 2 F","222.77","7.96","56%","-2%","28","28","2,520","720","30","83","1","0","5","0","0","0","0","0","0","0","0","1","0","0","0","21","0","9","0","11","1","0","0"
"*05n0a*","Wes Foderingham","SHU","G","13","FA","TOT 3<br/>@SHU 0 F","216.5","7.22","0%","0%","30","29","2,647","90","79","133","2","0","12","0","0","0","3","1","0","0","0","1","0","0","0","29","2","5","0","26","2","1","0"
"*05oz3*","James Trafford","BUR","G","14","FA","NOT 2<br/>@BUR 1 F","213.26","7.62","21%","0%","28","28","2,520","180","62","106","2","0","5","0","0","0","1","0","0","0","0","0","0","1","1","38","2","17","0","25","6","0","0"
"*04fk5*","Ederson","MCI","G","15","FA","WHU 1<br/>@MCI 3 F","200.57","6.08","11%","0%","33","33","2,785","1,013","27","57","5","0","4","0","0","0","0","0","0","0","0","1","0","0","0","16","1","9","0","22","3","0","0"
"*04mr4*","Martin Dubravka","NEW","G","16","FA","NEW 4<br/>@BRF 2 F","194.71","8.47","29%","-2%","23","22","1,983","363","42","88","1","0","5","1","0","0","0","0","0","0","0","1","0","0","0","16","0","4","0","18","6","0","0"
"*06fuw*","Djordje Petrovic","CHE","G","17","FA","BOU 1<br/>@CHE 2 F","167.51","7.28","59%","-1%","23","22","1,985","450","38","75","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","20","0","6","0","18","2","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","18","FA","MUN 2<br/>@BHA 0 F","163.51","7.79","66%","0%","21","21","1,890","360","28","65","3","0","2","0","0","0","1","0","0","0","0","0","0","0","0","17","1","6","0","17","7","0","0"
"*04gw6*","Arijanet Muric","BUR","G","19","Noah B","NOT 2<br/>@BUR 1 F","156.25","15.62","0%","0%","10","10","900","0","16","64","0","0","3","1","0","0","1","0","0","0","0","4","0","0","0","14","0","4","0","19","0","1","0"
"*062ds*","Matt Turner","NOT","G","20","FA","NOT 2<br/>@BUR 1 F","134.76","7.93","0%","0%","17","17","1,530","180","28","55","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","13","0","6","0","28","2","0","0"
"*04yme*","Robert Sanchez","CHE","G","21","FA","BOU 1<br/>@CHE 2 F","127.76","7.98","61%","-11%","16","16","1,433","270","25","53","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","13","0","3","0","17","0","0","0"
"*044ei*","Nick Pope","NEW","G","22","Laeka B","NEW 4<br/>@BRF 2 F","124.43","8.3","70%","+4%","15","15","1,345","535","16","43","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","17","0","3","0","9","1","0","0"
"*02xtd*","Sam Johnstone","CRY","G","23","FA","AVL 0<br/>@CRY 5 F","120.27","6.01","1%","0%","20","20","1,796","540","27","41","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","13","0","2","0","23","0","0","0"
"*03yww*","Dean Henderson","MUN/CRY","G","24","FA","AVL 0<br/>@CRY 5 F","108.76","6.04","89%","-1%","18","18","1,620","360","30","58","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","22","0","5","0","2","0","2","0"
"*04f6h*","Matz Sels","NEW/NOT","G","25","FA","NOT 2<br/>@BUR 1 F","79.75","4.98","58%","+1%","16","16","1,440","90","27","38","1","0","3","0","0","0","0","0","0","0","0","1","0","0","0","17","0","4","0","11","1","0","0"
"*045ob*","Caoimhin Kelleher","LIV","G","26","FA","WOL 0<br/>@LIV 2 F","76.76","7.68","91%","+1%","10","10","900","180","11","28","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","0","4","0","4","3","0","0"
"*04rha*","Jason Steele","BHA","G","27","FA","MUN 2<br/>@BHA 0 F","74.01","4.35","1%","0%","17","17","1,530","180","34","43","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","0","1","0","7","3","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","28","FA","WHU 1<br/>@MCI 3 F","63.25","6.33","0%","0%","10","7","721","90","21","33","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","9","0","2","0","8","1","0","0"
