"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","MCS"
"*04y92*","Bukayo Saka","ARS","M,F","1","j.l.","EVE 1<br/>@ARS 2 F","650","18.57","100%","0%","35","35","2,916","16","8","0","91","4","37","2","35","0","53","69","4","0","19","15","1","19","49","2","24","155","0","1","0","27","1,247"
"*05gcr*","Bruno Fernandes","MUN","M","2","RyRob","MUN 2<br/>@BHA 0 F","638.65","18.25","100%","0%","35","35","3,117","10","8","2","114","1","41","3","38","0","35","28","9","0","17","27","3","46","19","6","21","200","1","0","0","52","689"
"*05l8q*","Cole Palmer","MCI/CHE","M","3","Noah B","BOU 1<br/>@CHE 2 F","627.3","18.45","100%","0%","34","29","2,604","22","11","0","72","2","46","1","12","0","44","26","7","0","9","20","1","11","52","2","1","105","0","1","0","46","545"
"*04abb*","Phil Foden","MCI","M","4","Noah B","WHU 1<br/>@MCI 3 F","616.54","17.62","97%","+5%","35","33","2,850","19","8","0","73","0","48","1","20","0","49","60","2","0","14","13","1","16","47","0","6","127","0","0","0","27","1,017"
"*05ylj*","Bruno Guimaraes","NEW","M","5","Noah B","NEW 4<br/>@BRF 2 F","564.11","15.25","100%","0%","37","37","3,262","7","8","0","62","1","16","1","53","1","70","108","9","0","10","34","5","19","72","14","17","236","0","0","0","60","866"
"*04fk1*","Pascal Gross","BHA","M","6","MID","MUN 2<br/>@BHA 0 F","545.49","15.15","74%","0%","36","34","3,110","4","10","1","104","1","20","1","46","0","28","27","6","0","40","22","3","27","16","8","14","144","0","0","0","50","540"
"*05r9b*","Martin Odegaard","ARS","M","7","CC FC","EVE 1<br/>@ARS 2 F","532.14","15.2","96%","0%","35","35","3,085","8","10","0","102","1","23","0","17","0","58","36","2","0","22","15","0","5","37","1","3","158","0","1","0","23","1,522"
"*03aqp*","Mohamed Salah","LIV","F","8","BBFC","WOL 0<br/>@LIV 2 F","530.75","16.59","97%","0%","32","28","2,525","18","10","2","66","2","56","2","11","0","59","26","2","0","10","2","0","1","27","1","6","84","2","1","0","30","696"
"*05ocl*","Ollie Watkins","AVL","F","9","Laeka B","AVL 0<br/>@CRY 5 F","527.75","14.26","99%","0%","37","37","3,212","19","13","0","45","5","47","4","7","0","57","41","4","0","2","4","0","19","26","4","50","64","0","2","0","56","654"
"*0427d*","James Tarkowski","EVE","D","10","BBFC","EVE 1<br/>@ARS 2 F","525.29","13.82","99%","0%","38","38","3,418","1","1","1","22","0","5","0","42","3","16","25","11","0","3","56","8","186","16","56","145","186","0","0","0","51","1,170"
"*04mdn*","Anthony Gordon","NEW","M","11","RyRob","NEW 4<br/>@BRF 2 F","524.97","15","96%","-1%","35","34","2,881","11","10","0","57","6","31","2","34","0","40","67","10","1","15","7","0","4","53","0","9","125","0","6","0","48","853"
"*03v9d*","Son Heung-Min","TOT","F","12","MID","TOT 3<br/>@SHU 0 F","520.5","14.87","10%","0%","35","34","2,930","17","10","1","68","0","40","2","13","0","41","39","1","0","5","8","1","4","39","1","5","80","0","1","1","51","600"
"*061vq*","Erling Haaland","MCI","F","13","Slab","WHU 1<br/>@MCI 3 F","515.5","16.63","100%","0%","31","29","2,546","27","5","0","29","3","59","1","3","0","19","31","1","0","0","2","0","16","12","1","39","47","1","2","0","25","889"
