"Standings"
"Rk","Team","W","D","L","Points","Win%","Div","WW","FPtsF","FPtsA","Streak"
"1","2-Diamond Dogs","31","0","7","93",".816","31-7-0","","5,154.532","3,940.043","2 (W)"
"2","3-Rainy Night at Stoke","28","0","10","84",".737","28-10-0","","5,062.157","4,388.789","1 (L)"
"3","3-Bench Warmers FC","28","0","10","84",".737","28-10-0","","5,028.718","4,104.605","6 (W)"
"4","3-Shaq Moore Fan SC","27","0","11","81",".711","27-11-0","","4,934.356","4,218.938","2 (W)"
"5","2-100 Virgils","27","0","11","81",".711","27-11-0","","4,899.598","4,175.176","1 (L)"
"6","1-john lim","25","0","13","75",".658","25-13-0","","4,987.029","4,481.361","1 (W)"
"7","3- Mickey Mount Clubhouse","25","0","13","75",".658","25-13-0","","4,795.972","4,329.763","1 (W)"
"8","1 - The Narrative","24","0","14","72",".632","24-14-0","","5,269.377","4,640.535","3 (W)"
"9","1-The Dentist","24","0","14","72",".632","24-14-0","","4,790.952","4,715.548","3 (L)"
"10","2-Wild Boars United","23","0","15","69",".605","23-15-0","","4,365.679","3,995.935","1 (L)"
"11","2-Lads FC","22","0","16","66",".579","22-16-0","","4,226.602","4,119.555","2 (L)"
"12","3-Fati Dati","21","0","17","63",".553","21-17-0","","4,688.013","4,244.221","1 (L)"
"13","2-Diego Luna Fan Page","21","0","17","63",".553","21-17-0","","4,229.71","3,968.927","1 (W)"
"14","1-Burnley and Old Trafford","20","0","18","60",".526","20-18-0","","5,068.27","4,719.351","4 (W)"
"15","1-OGBEAN'S","20","0","18","60",".526","20-18-0","","5,063.915","4,715.241","2 (W)"
"16","1-Barkley’s Balls Sponsored by Baileys","20","0","18","60",".526","20-18-0","","4,801.407","4,856.397","1 (L)"
"17","1-bruNO HARD FEELINGS","20","0","18","60",".526","20-18-0","","4,667.193","4,606.796","1 (L)"
"18","2-FC Bofa","20","0","18","60",".526","20-18-0","","4,620.371","4,305.475","1 (L)"
"19","2-good kev, m.A.A.d eze","20","0","18","60",".526","20-18-0","","4,233.607","4,177.047","2 (W)"
"20","1-Check Complete FC","19","0","19","57",".500","19-19-0","","4,362.379","4,536.366","1 (W)"
"21","2- Martins Men","19","0","19","57",".500","19-19-0","","4,280.9","4,247.762","5 (W)"
"22","3-Jamie's Tartts","18","0","20","54",".474","18-20-0","","4,240.127","4,262.176","2 (W)"
"23","2-Roy Kent's U8 Girls","17","0","21","51",".447","17-21-0","","3,753.716","4,147.597","1 (W)"
"24","1-rice cooker","16","0","22","48",".421","16-22-0","","4,538.21","4,901.96","1 (W)"
"25","1-ComeBack Szn","16","0","22","48",".421","16-22-0","","4,353.667","4,553.234","5 (L)"
"26","3-Gallagher? I hardly know her","16","0","22","48",".421","16-22-0","","3,855.959","4,126.338","1 (W)"
"27","1-Koke Vegas","15","0","23","45",".395","15-23-0","","4,726.228","4,870.52","1 (L)"
"28","3- if u lose 2 me, that is embarrassing","15","0","23","45",".395","15-23-0","","3,919.088","4,514.026","2 (L)"
"29","3-Dijk in Diaz","15","0","23","45",".395","15-23-0","","3,849.365","4,211.999","9 (L)"
"30","2-Matt Turner Overdrive","14","0","24","42",".368","14-24-0","","3,979.234","4,330.589","3 (L)"
"31","3-An Actual Job Haver","12","0","26","36",".316","12-26-0","","3,790.346","4,356.565","4 (L)"
"32","3-Thrifty FC","12","0","26","36",".316","12-26-0","","3,659.372","4,363.103","1 (W)"
"33","3-UPSL Part Time Athletes","11","0","27","33",".289","11-27-0","","3,699.862","4,402.812","1 (L)"
"34","1-Greek Prison XI","9","0","29","27",".237","9-29-0","","4,092.77","5,124.088","6 (L)"
"35","2-FC Becky-Lowe-Na","9","0","29","27",".237","9-29-0","","3,499.35","4,079.293","1 (W)"
"36","2-Soccer F.C","5","0","33","15",".132","5-33-0","","2,692.074","4,447.974","6 (L)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"2-Roy Kent's U8 Girls","84.249","2-Matt Turner Overdrive","80.839"
"2-100 Virgils","127.908","2-good kev, m.A.A.d eze","195.216"
"2- Martins Men","118.986","2-FC Bofa","99.504"
"2-Diego Luna Fan Page","139.251","2-Wild Boars United","97.138"
"2-Lads FC","85.753","2-Diamond Dogs","179.711"
"2-FC Becky-Lowe-Na","182.009","2-Soccer F.C","17"
"1-Burnley and Old Trafford","116.39","1-Barkley’s Balls Sponsored by Baileys","95.753"
"1-The Dentist","139.752","1-rice cooker","185.672"
"1-Greek Prison XI","109.827","1-john lim","170.252"
"1-Koke Vegas","129.756","1 - The Narrative","215.75"
"1-bruNO HARD FEELINGS","88.405","1-Check Complete FC","131.269"
"1-ComeBack Szn","102.738","1-OGBEAN'S","144.389"
"3-An Actual Job Haver","99.25","3-Bench Warmers FC","178.525"
"3-Fati Dati","125.505","3-Gallagher? I hardly know her","129.003"
"3- Mickey Mount Clubhouse","156.451","3-Rainy Night at Stoke","137.807"
"3-Jamie's Tartts","119.958","3-Dijk in Diaz","96.006"
"3-Thrifty FC","106.218","3- if u lose 2 me, that is embarrassing","77.256"
"3-UPSL Part Time Athletes","82.5","3-Shaq Moore Fan SC","123.407"

"Gameweek 37"
"Away","FPts","Home","FPts"
"2-100 Virgils","218.507","2-Roy Kent's U8 Girls","103"
"2-Matt Turner Overdrive","102.253","2- Martins Men","144.732"
"2-good kev, m.A.A.d eze","188.078","2-Diego Luna Fan Page","96.258"
"2-FC Bofa","142.322","2-Lads FC","62.898"
"2-Wild Boars United","168.481","2-FC Becky-Lowe-Na","124.003"
"2-Diamond Dogs","210.898","2-Soccer F.C","78.288"
"1-The Dentist","178.878","1-Burnley and Old Trafford","182.042"
"1-Barkley’s Balls Sponsored by Baileys","166.909","1-Greek Prison XI","151.253"
"1-rice cooker","87.499","1-Koke Vegas","166.75"
"1-john lim","166.378","1-bruNO HARD FEELINGS","177.258"
"1 - The Narrative","238.222","1-ComeBack Szn","125"
"1-Check Complete FC","97.983","1-OGBEAN'S","173"
"3-Fati Dati","217.506","3-An Actual Job Haver","96.235"
"3-Bench Warmers FC","157.248","3- Mickey Mount Clubhouse","143.257"
"3-Gallagher? I hardly know her","115.442","3-Jamie's Tartts","153"
"3-Rainy Night at Stoke","213.25","3-Thrifty FC","173.556"
"3-Dijk in Diaz","98.999","3-UPSL Part Time Athletes","117.829"
"3- if u lose 2 me, that is embarrassing","116.222","3-Shaq Moore Fan SC","144.758"

