"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Neto","BOU","G","Claim","1-OGBEAN'S","1","Sun May 19, 2024, 10:28AM","38"
"Guglielmo Vicario","TOT","G","Drop","1-OGBEAN'S","1","Sun May 19, 2024, 10:28AM","38"
"Kenny Tete","FUL","D","Claim","1-OGBEAN'S","1","Sun May 19, 2024, 10:27AM","38"
"Calvin Bassey","FUL","D","Drop","1-OGBEAN'S","1","Sun May 19, 2024, 10:27AM","38"
"Nelson Semedo","WOL","D","Claim","1-OGBEAN'S","1","Sun May 19, 2024, 10:25AM","38"
"Benoit Badiashile","CHE","D","Drop","1-OGBEAN'S","1","Sun May 19, 2024, 10:25AM","38"
"Ezri Konsa","AVL","D","Drop","1-john lim","1","Sun May 19, 2024, 10:14AM","38"
"Teden Mengi","MUN/LUT","D","Claim","1-Burnley and Old Trafford","1","Sun May 19, 2024, 10:12AM","38"
"Ola Aina","NOT","D","Drop","1-Burnley and Old Trafford","1","Sun May 19, 2024, 10:12AM","38"
"Jacob Bruun Larsen","BUR","F","Claim","1 - The Narrative","1","Sun May 19, 2024, 10:12AM","38"
"Malo Gusto","CHE","D","Drop","1-Burnley and Old Trafford","1","Sun May 19, 2024, 10:11AM","38"
"Kristoffer Ajer","BRF","D","Drop","1 - The Narrative","1","Sun May 19, 2024, 10:09AM","38"
"Zanka","BRF","D","Claim","1 - The Narrative","1","Sun May 19, 2024, 10:09AM","38"
"Amadou Onana","EVE","M","Claim","1-Greek Prison XI","1","Sun May 19, 2024, 10:08AM","38"
"Mikkel Damsgaard","BRF","M","Drop","1-Greek Prison XI","1","Sun May 19, 2024, 10:08AM","38"
"Tyrick Mitchell","CRY","D","Claim","1-Greek Prison XI","1","Sun May 19, 2024, 10:07AM","38"
"Lewis Miley","NEW","M","Drop","1-Greek Prison XI","1","Sun May 19, 2024, 10:07AM","38"
"Justin Kluivert","BOU","M,F","Drop","1-john lim","1","Sun May 19, 2024, 10:06AM","38"
"Vladimir Coufal","WHU","D","Claim","1-The Dentist","1","Sun May 19, 2024, 10:06AM","38"
"Dominik Szoboszlai","LIV","M","Drop","1-The Dentist","1","Sun May 19, 2024, 10:06AM","38"
"Hwang Hee-Chan","WOL","F","Drop","1-john lim","1","Sun May 19, 2024, 10:06AM","38"
"Adama Traore","WOL/FUL","F","Claim","1-The Dentist","1","Sun May 19, 2024, 10:05AM","38"
"Jarrod Bowen","WHU","M","Drop","1-The Dentist","1","Sun May 19, 2024, 10:05AM","38"
"Robin Olsen","AVL","G","Claim","1-Koke Vegas","1","Sun May 19, 2024, 10:03AM","38"
"Enes Unal","MCI/BOU","F","Claim","1-ComeBack Szn","1","Sun May 19, 2024, 10:02AM","38"
"Andreas Pereira","FUL","M","Drop","1-ComeBack Szn","1","Sun May 19, 2024, 10:02AM","38"
"Emiliano Martinez","AVL","G","Drop","1-Koke Vegas","1","Sun May 19, 2024, 10:02AM","38"
"Tariq Lamptey","BHA","D","Drop","1-Koke Vegas","1","Sun May 19, 2024, 10:02AM","38"
"Zeki Amdouni","BUR","F","Claim","1-ComeBack Szn","1","Sun May 19, 2024, 10:02AM","38"
"Willian","FUL","F","Drop","1-ComeBack Szn","1","Sun May 19, 2024, 10:02AM","38"
"Rodrigo Bentancur","TOT","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sun May 19, 2024, 10:02AM","38"
"Elliot Anderson","NEW","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sun May 19, 2024, 10:02AM","38"
"Calvin Bassey","FUL","D","Claim","1-OGBEAN'S","1","Sun May 19, 2024, 10:02AM","38"
"Antony","MUN","F","Drop","1-OGBEAN'S","1","Sun May 19, 2024, 10:02AM","38"
"Ben Godfrey","EVE","D","Drop","1-john lim","1","Sun May 19, 2024, 10:01AM","38"
"Harry Wilson","FUL","M","Claim","1-OGBEAN'S","1","Sun May 19, 2024, 10:01AM","38"
"Harry Toffolo","NOT","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sun May 19, 2024, 10:01AM","38"
"Nick Pope","NEW","G","Claim","1-The Dentist","1","Sun May 19, 2024, 10:01AM","38"
"Stefan Ortega","MCI","G","Drop","1-The Dentist","1","Sun May 19, 2024, 10:01AM","38"
"Kieran Trippier","NEW","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sun May 19, 2024, 10:01AM","38"
"Jose Sa","WOL","G","Claim","1-john lim","1","Sun May 19, 2024, 10:01AM","38"
