"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","CoS","AER","AC","HCS","Sm","OG","SOT"
"*02xtd*","Sam Johnstone","CRY","G","23","FA","AVL 0<br/>@CRY 5 F","16","16","1%","0%","1","1","90","90","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fxg*","Odysseas Vlachodimos","NOT","G","35","FA","NOT 2<br/>@BUR 1 F","13","13","0%","0%","1","1","90","90","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"*06ewr*","Thomas Kaminski","LUT","G","10","FA","FUL 4<br/>@LUT 2 F","11","11","0%","0%","1","1","90","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*04sjt*","Alisson","LIV","G","12","CmBk","WOL 0<br/>@LIV 2 F","10.5","10.5","56%","-2%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0"
"*06dps*","Andre Onana","MUN","G","1","RDN","MUN 2<br/>@BHA 0 F","10","10","3%","0%","1","1","90","90","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044ei*","Nick Pope","NEW","G","22","Laeka B","NEW 4<br/>@BRF 2 F","9.25","9.25","70%","+4%","1","1","90","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"*04qor*","Bernd Leno","FUL","G","5","RyRob","FUL 4<br/>@LUT 2 F","8.25","8.25","58%","+7%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","3","Slab","EVE 1<br/>@ARS 2 F","8","8","95%","+1%","1","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"*04yme*","Robert Sanchez","CHE","G","21","FA","BOU 1<br/>@CHE 2 F","8","8","61%","-11%","1","1","90","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","Wes Foderingham","SHU","G","13","FA","TOT 3<br/>@SHU 0 F","6.75","6.75","0%","0%","1","1","90","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","18","FA","MUN 2<br/>@BHA 0 F","6","6","66%","0%","1","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmb*","Guglielmo Vicario","TOT","G","7","FA","TOT 3<br/>@SHU 0 F","2.75","2.75","34%","-1%","1","1","90","0","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0"
"*05oz3*","James Trafford","BUR","G","14","FA","NOT 2<br/>@BUR 1 F","1","1","21%","0%","1","1","90","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062p4*","Thomas Strakosha","BRF","G","36","FA","NEW 4<br/>@BRF 2 F","1","1","0%","0%","1","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
