"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","MCS"
"*04y92*","Bukayo Saka","ARS","M,F","1","j.l.","EVE 1<br/>@ARS 2 F","39","39","100%","0%","1","1","66","2","0","0","3","0","3","0","0","0","0","2","0","0","2","0","0","0","2","0","1","6","0","1","0","0","66"
"*04agz*","Declan Rice","ARS","M","16","W’s","EVE 1<br/>@ARS 2 F","36.23","36.23","100%","0%","1","1","66","1","2","0","4","0","1","0","0","0","1","0","0","0","2","1","0","1","0","1","0","2","0","0","0","0","66"
"*051k8*","Conor Gallagher","CHE","M","17","RyRob","BOU 1<br/>@CHE 2 F","33.75","33.75","50%","+1%","1","1","90","2","0","0","3","0","2","0","0","0","2","3","0","0","1","2","0","0","1","0","0","3","0","0","0","1","0"
"*05r9b*","Martin Odegaard","ARS","M","7","CC FC","EVE 1<br/>@ARS 2 F","31","31","96%","0%","1","1","90","0","2","0","7","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","5","0","0","0","0","90"
"*06f7b*","Vinicius de Souza Costa","SHU","M","116","FA","TOT 3<br/>@SHU 0 F","29.75","29.75","0%","0%","1","1","90","1","0","0","0","1","1","0","4","0","1","1","0","0","0","0","0","7","1","1","8","8","0","0","0","1","0"
"*061vq*","Erling Haaland","MCI","F","13","Slab","WHU 1<br/>@MCI 3 F","28.5","28.5","100%","0%","1","1","90","2","0","0","2","0","2","0","0","0","1","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","90"
"*063e7*","Marcos Senesi","BOU","D","75","W’s","BOU 1<br/>@CHE 2 F","27.5","27.5","91%","0%","1","1","90","1","0","0","3","0","1","0","1","0","0","2","0","0","1","1","0","4","2","0","3","12","0","0","0","3","0"
"*05ohc*","Sergio Reguilon","TOT/MUN/BRF","D","155","thomas","NEW 4<br/>@BRF 2 F","27.25","27.25","0%","0%","1","1","90","0","1","0","2","0","0","0","4","0","0","1","0","0","1","1","0","5","0","0","0","5","0","0","0","0","90"
"*0558w*","William Saliba","ARS","D","54","CC FC","EVE 1<br/>@ARS 2 F","26.75","26.75","99%","0%","1","1","90","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","3","0","1","2","3","0","0","0","0","90"
"*05ylj*","Bruno Guimaraes","NEW","M","5","Noah B","NEW 4<br/>@BRF 2 F","26.75","26.75","100%","0%","1","1","90","2","0","0","0","0","2","0","0","0","3","3","0","0","0","0","0","0","1","1","0","11","0","0","0","2","0"
"*03rzp*","Antonee Robinson","FUL","D","19","CmBk","FUL 4<br/>@LUT 2 F","25.75","25.75","72%","+7%","1","1","90","0","0","0","1","0","1","0","3","0","0","0","0","0","0","5","1","7","1","1","6","5","0","0","0","1","0"
"*061vn*","Rodrigo Muniz","FUL","F","156","CmBk","FUL 4<br/>@LUT 2 F","24.75","24.75","31%","+9%","1","1","74","2","0","0","0","0","2","0","0","0","3","1","0","0","0","0","0","2","0","0","6","3","0","0","0","1","0"
"*05nzu*","Gabriel Magalhaes","ARS","D","46","RDN","EVE 1<br/>@ARS 2 F","24.5","24.5","100%","0%","1","1","90","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","0","2","1","2","0","0","0","0","90"
"*06clz*","Malo Gusto","CHE","D","147","FA","BOU 1<br/>@CHE 2 F","24.5","24.5","49%","-3%","1","1","83","0","1","0","2","0","0","0","3","0","1","2","0","0","3","1","0","1","2","0","1","7","0","0","0","1","0"
"*05yld*","Luis Diaz","LIV","F","28","CC FC","WOL 0<br/>@LIV 2 F","24.25","24.25","5%","0%","1","1","81","1","0","0","1","0","4","0","1","0","1","2","0","0","0","0","0","1","2","0","2","2","0","0","0","1","0"
"*05gcr*","Bruno Fernandes","MUN","M","2","RyRob","MUN 2<br/>@BHA 0 F","24","24","100%","0%","1","1","90","0","0","0","8","0","0","0","1","0","1","1","0","0","0","2","1","1","0","2","0","5","0","0","0","1","0"
"*04qfz*","Diogo Dalot","MUN","D","44","Slab","MUN 2<br/>@BHA 0 F","23.75","23.75","83%","-2%","1","1","90","0","1","0","2","0","0","0","2","0","0","0","0","0","2","2","1","5","0","2","1","3","0","0","0","1","0"
"*06c6a*","Alfie Doughty","LUT","M","20","thomas","FUL 4<br/>@LUT 2 F","23.75","23.75","0%","0%","1","1","86","0","0","0","9","0","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","5","0","0","0","3","0"
"*05u1m*","Nathan Collins","BRF","D","103","W’s","NEW 4<br/>@BRF 2 F","23.25","23.25","82%","+1%","1","1","90","0","0","0","3","0","0","0","1","0","0","1","0","0","0","4","0","7","0","0","2","3","0","0","0","0","90"
"*03gu4*","Harry Maguire","MUN","D","149","FA","MUN 2<br/>@BHA 0 F","23.25","23.25","43%","+3%","1","1","90","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","5","0","1","7","5","0","0","0","1","0"
"*04spp*","Douglas Luiz","AVL","M","33","W’s","AVL 0<br/>@CRY 5 F","22.25","22.25","11%","-1%","1","1","90","1","0","0","1","0","2","0","2","0","2","0","0","0","0","1","0","1","2","0","2","5","0","0","0","2","0"
"*04qr8*","Diogo Jota","LIV","F","133","CC FC","WOL 0<br/>@LIV 2 F","22","22","0%","0%","1","1","90","1","0","0","1","0","3","0","1","0","0","2","0","0","0","1","0","0","0","0","0","6","0","0","0","1","0"
"*05tr8*","Christian Norgaard","BRF","M","83","CmBk","NEW 4<br/>@BRF 2 F","21.93","21.93","7%","0%","1","1","84","1","0","0","1","0","1","0","2","0","0","1","0","0","0","2","0","1","0","0","2","5","0","0","0","0","84"
"*04fk1*","Pascal Gross","BHA","M","6","MID","MUN 2<br/>@BHA 0 F","21.75","21.75","74%","0%","1","1","90","1","0","0","0","0","1","0","2","0","2","0","0","0","0","2","1","3","1","2","0","9","0","0","0","2","0"
"*05l8q*","Cole Palmer","MCI/CHE","M","3","Noah B","BOU 1<br/>@CHE 2 F","21.5","21.5","100%","0%","1","1","90","0","2","0","3","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","1","4","0","0","0","1","0"
"*04mi4*","Callum Hudson-Odoi","CHE/NOT","F","109","thomas","NOT 2<br/>@BUR 1 F","21","21","51%","-2%","1","1","90","1","0","0","2","0","1","0","0","0","3","3","0","0","0","0","0","0","4","0","0","8","0","0","0","3","0"
"*037mo*","Willian","FUL","F","125","FA","FUL 4<br/>@LUT 2 F","20.75","20.75","0%","0%","1","1","84","0","1","1","2","0","2","0","0","0","0","0","0","0","2","0","0","1","2","0","1","1","0","0","0","1","0"
"*061x2*","Darwin Nunez","LIV","F","60","FA","WOL 0<br/>@LIV 2 F","20","20","2%","0%","1","1","90","1","0","0","3","0","2","0","0","0","2","1","1","0","0","1","0","0","0","0","3","3","0","0","0","1","0"
"*02y6o*","Nathan Ake","MCI","D","151","FA","WHU 1<br/>@MCI 3 F","19.5","19.5","24%","+1%","1","1","90","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","90"
"*04gpx*","Dara O'Shea","BUR","D","87","Laeka B","NOT 2<br/>@BUR 1 F","19.25","19.25","0%","0%","1","1","90","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","6","0","2","6","7","0","0","0","3","0"
"*04rd0*","Bobby De Cordova-Reid","FUL","F","224","FA","FUL 4<br/>@LUT 2 F","19","19","0%","0%","1","1","63","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"*04e1e*","Ben White","ARS","D","30","CC FC","EVE 1<br/>@ARS 2 F","18.57","18.57","70%","-1%","1","1","76","0","1","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","76"
"*04tig*","Fabian Schar","NEW","D","62","CmBk","NEW 4<br/>@BRF 2 F","18.25","18.25","28%","0%","1","1","90","1","0","0","1","0","2","0","0","0","1","1","0","0","0","0","0","4","0","1","2","1","0","0","0","2","0"
"*068ym*","Enzo Fernandez","CHE","M","127","Slab","BOU 1<br/>@CHE 2 F","17.5","17.5","100%","0%","1","1","90","1","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","0","2","7","0","0","0","1","0"
"*0520r*","Leandro Trossard","ARS","M","106","j.l.","EVE 1<br/>@ARS 2 F","17.23","17.23","91%","+3%","1","1","66","1","0","0","0","0","2","0","2","0","7","1","0","0","0","0","0","0","3","0","1","2","0","0","0","0","66"
"*06jgs*","Adam Wharton","CRY","M","234","MID","AVL 0<br/>@CRY 5 F","17","17","75%","-1%","1","1","90","0","0","0","2","0","0","0","6","0","1","1","0","0","0","3","0","2","0","0","1","3","0","0","0","3","0"
"*068yi*","Illia Zabarnyi","BOU","D","119","FA","BOU 1<br/>@CHE 2 F","17","17","2%","0%","1","1","90","0","0","0","1","0","0","0","3","0","0","0","0","0","0","2","1","6","0","0","10","2","0","0","0","3","0"
"*03srg*","Trent Alexander-Arnold","LIV","D","36","W’s","WOL 0<br/>@LIV 2 F","17","17","0%","0%","1","1","45","0","1","0","2","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","1","2","0","0","0","1","0"
"*05tr1*","Ethan Pinnock","BRF","D","81","RyRob","NEW 4<br/>@BRF 2 F","16.75","16.75","3%","0%","1","1","90","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","7","0","1","5","3","0","0","0","0","90"
"*03gu5*","Andrew Robertson","LIV","D","89","j.l.","WOL 0<br/>@LIV 2 F","16.75","16.75","22%","-8%","1","1","88","0","0","0","5","0","0","0","1","0","0","2","0","0","4","0","0","2","0","0","0","0","0","0","0","1","0"
"*06fy7*","Nicolas Dominguez","NOT","M","223","FA","NOT 2<br/>@BUR 1 F","16.75","16.75","2%","0%","1","1","77","0","1","0","2","0","0","0","2","0","0","0","0","0","0","0","0","1","1","0","1","10","0","0","0","3","0"
"*05os4*","Rayan Ait-Nouri","WOL","D","124","thomas","WOL 0<br/>@LIV 2 F","16.5","16.5","79%","-4%","1","1","90","0","0","0","3","0","0","0","2","0","0","2","0","0","1","0","0","2","6","0","0","6","0","0","0","2","0"
"*03v6w*","Ivan Toney","BRF","F","213","CmBk","NEW 4<br/>@BRF 2 F","16.5","16.5","0%","0%","1","1","90","1","0","0","0","0","2","0","0","0","3","2","0","0","1","0","0","0","0","0","4","4","0","0","0","0","90"
"*05ogb*","Anthony Elanga","NOT","F","91","thomas","NOT 2<br/>@BUR 1 F","16.25","16.25","36%","-1%","1","1","90","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","3","0"
"*062a9*","Sven Botman","NEW","D","282","FA","NEW 4<br/>@BRF 2 F","15.75","15.75","49%","+5%","1","1","90","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","6","0","2","6","4","0","0","0","2","0"
"*03dx3*","Kieran Trippier","NEW","D","37","FA","NEW 4<br/>@BRF 2 F","15.75","15.75","36%","+2%","1","1","90","0","1","0","1","0","0","0","1","0","0","0","0","0","3","1","0","2","0","0","1","7","0","0","0","2","0"
"*04f6o*","Will Hughes","CRY","M","217","FA","AVL 0<br/>@CRY 5 F","15.5","15.5","2%","0%","1","1","78","0","0","0","4","0","0","0","3","0","0","2","0","0","1","0","0","1","0","1","0","2","0","0","0","1","0"
"*04qr9*","Morgan Gibbs-White","NOT","M","15","RDN","NOT 2<br/>@BUR 1 F","15.25","15.25","99%","0%","1","1","90","0","1","0","2","0","0","0","1","0","1","0","1","0","1","0","0","0","1","0","4","10","0","0","0","3","0"
"*061ya*","Brennan Johnson","NOT/TOT","F","69","Slab","TOT 3<br/>@SHU 0 F","15","15","54%","-1%","1","0","27","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0"
"*068a7*","Pablo Sarabia","WOL","M","104","FA","WOL 0<br/>@LIV 2 F","15","15","0%","0%","1","1","90","0","0","0","3","0","1","0","2","0","1","3","0","0","1","0","0","0","1","0","1","4","0","0","0","2","0"
"*068sd*","Jakub Kiwior","ARS","D","275","FA","EVE 1<br/>@ARS 2 F","14.75","14.75","1%","0%","1","1","90","0","0","0","1","0","0","0","2","0","1","0","0","0","1","1","0","5","0","0","1","1","0","0","0","0","90"
"*03dx7*","Ben Mee","BRF","D","290","FA","NEW 4<br/>@BRF 2 F","14.75","14.75","0%","0%","1","1","90","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0","3","0","2","2","3","0","0","0","0","90"
"*056iy*","Pedro Neto","WOL","F","131","MID","WOL 0<br/>@LIV 2 F","14","14","95%","-2%","1","1","90","0","0","0","3","0","2","0","0","0","2","1","0","0","0","0","0","0","3","0","0","6","0","0","0","2","0"
"*03fgo*","Dominic Solanke","BOU","F","25","CC FC","BOU 1<br/>@CHE 2 F","14","14","62%","-4%","1","1","90","0","1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","4","3","0","0","0","3","0"
"*05gcs*","Sander Berge","BUR","M","110","FA","NOT 2<br/>@BUR 1 F","14","14","14%","0%","1","1","90","0","0","0","1","0","0","0","2","0","0","0","0","0","0","2","0","10","1","1","3","4","0","0","0","3","0"
"*04xjr*","Harvey Elliott","LIV","M","130","BBFC","WOL 0<br/>@LIV 2 F","14","14","8%","0%","1","0","45","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"*04io4*","Richarlison","TOT","F","145","RyRob","TOT 3<br/>@SHU 0 F","13.5","13.5","80%","+1%","1","1","90","0","0","1","2","0","1","0","0","0","0","2","0","0","0","0","0","2","3","0","2","2","0","0","0","1","0"
"*02lpf*","Ross Barkley","CHE/LUT","M","38","RDN","FUL 4<br/>@LUT 2 F","13.5","13.5","11%","-2%","1","1","90","0","0","0","3","0","0","0","0","0","3","2","0","0","0","1","0","3","2","0","7","2","0","0","0","3","0"
"*06exb*","Rasmus Hojlund","MUN","F","143","CmBk","MUN 2<br/>@BHA 0 F","13.5","13.5","4%","0%","1","1","88","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","0","0","0","1","0"
"*04qos*","Issa Diop","FUL","D","305","FA","FUL 4<br/>@LUT 2 F","13.5","13.5","2%","+1%","1","1","90","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","6","1","3","4","3","0","0","0","1","0"
"*05omu*","Ruben Dias","MCI","D","148","RyRob","WHU 1<br/>@MCI 3 F","13.25","13.25","73%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","0","3","7","0","0","0","0","90"
"*0639x*","Marcus Tavernier","BOU","M","84","j.l.","BOU 1<br/>@CHE 2 F","13.25","13.25","98%","0%","1","1","68","0","0","1","3","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","3","2","0","0","0","3","0"
"*05o4b*","Matty Cash","AVL","D","190","FA","AVL 0<br/>@CRY 5 F","13.25","13.25","80%","-1%","1","1","90","0","0","0","2","0","1","0","0","0","1","1","1","0","2","2","1","3","1","2","0","9","0","0","0","2","0"
"*05o6h*","Kai Havertz","ARS","F","26","j.l.","EVE 1<br/>@ARS 2 F","13","13","76%","-1%","1","1","90","0","0","0","3","0","1","0","0","0","1","2","0","0","0","1","0","1","0","0","6","1","0","0","0","0","90"
"*06ezb*","Micky van de Ven","TOT","D","178","thomas","TOT 3<br/>@SHU 0 F","13","13","71%","-2%","1","1","90","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","3","0","1","3","10","0","0","0","1","0"
