"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*03aqp*","Mohamed Salah","LIV","F","1","Will","CRY 1<br/>@LIV 1 F","767.5","20.2","97%","0%","38","38","3,368","29","18","2","89","0","61","6","11","0","67","39","1","0","17","9","0","0","5","58","0","9","0","0","0","40","1,220"
"*05l8q*","Cole Palmer","CHE","M","2","thomas","CHE 1<br/>@NOT 0 F","605.47","16.36","100%","0%","37","36","3,184","15","8","2","89","2","51","3","20","0","37","60","7","0","25","11","1","0","19","51","1","2","1","1","0","41","876"
"*05trb*","Bryan Mbeumo","BRF","F","3","RyRob","BRF 1<br/>@WOL 1 F","597","15.71","100%","0%","38","38","3,412","20","7","0","70","2","41","1","31","0","47","44","3","0","29","14","1","0","51","52","3","35","1","0","0","55","720"
"*05gcr*","Bruno Fernandes","MUN","M","4","RyRob","AVL 0<br/>@MUN 2 F","543.21","15.09","100%","0%","36","35","3,016","8","10","0","91","2","29","2","50","0","43","40","3","2","22","26","4","0","30","28","6","23","0","0","0","43","875"
"*067yz*","Matheus Cunha","WOL","F","5","TRB","BRF 1<br/>@WOL 1 F","512.25","15.52","100%","0%","33","29","2,588","15","6","1","57","1","44","1","22","0","55","71","4","0","16","17","0","0","19","61","1","13","0","0","0","54","622"
"*06jgi*","Daniel Munoz","CRY","D","6","Will","CRY 1<br/>@LIV 1 F","501.68","13.56","99%","0%","37","37","3,229","4","5","1","46","1","18","1","80","1","20","19","10","0","19","44","4","0","94","21","6","58","0","0","0","46","990"
"*046c5*","Jarrod Bowen","WHU","M","7","Brad","WHU 3<br/>@IPS 1 F","470.44","13.84","100%","0%","34","34","2,972","13","8","1","51","3","37","1","26","0","77","51","1","0","11","16","0","0","21","44","4","12","0","0","0","50","603"
"*0646f*","Alexander Isak","NEW","F","8","STONKS","EVE 1<br/>@NEW 0 F","470","13.82","90%","-3%","34","34","2,751","23","6","0","42","0","46","3","5","0","55","14","1","0","3","3","0","0","17","42","2","27","0","1","0","41","963"
"*03rzp*","Antonee Robinson","FUL","D","9","Mateta","MCI 2<br/>@FUL 0 F","466.22","12.95","72%","+7%","36","35","3,165","0","10","1","43","0","2","0","61","0","20","20","8","0","42","62","1","1","123","38","9","52","0","0","0","49","450"
"*068y0*","Antoine Semenyo","BOU","F","10","STONKS","LEI 0<br/>@BOU 2 F","448.75","12.13","100%","0%","37","36","3,200","11","5","0","46","2","41","5","35","0","77","37","9","0","8","11","1","0","34","69","9","67","0","1","0","41","800"
"*061vq*","Erling Haaland","MCI","F","11","Noah B","MCI 2<br/>@FUL 0 F","438.25","14.14","100%","0%","31","31","2,735","22","3","0","29","0","60","3","6","0","27","13","2","0","1","5","0","0","22","13","1","57","1","0","0","38","772"
"*05nt6*","Eberechi Eze","CRY","M","12","Laeka B","CRY 1<br/>@LIV 1 F","436.01","12.82","98%","0%","34","31","2,581","8","8","1","58","0","29","2","22","0","45","51","1","0","18","11","0","0","8","67","0","7","1","0","0","34","834"
"*05yld*","Luis Diaz","LIV","F","13","Bobbo","CRY 1<br/>@LIV 1 F","431.25","11.98","5%","0%","36","28","2,381","13","5","0","56","2","30","1","26","0","49","31","2","0","11","7","0","0","7","53","0","14","0","2","0","21","1,072"
"*068ym*","Enzo Fernandez","CHE","M","14","thomas","CHE 1<br/>@NOT 0 F","423.87","11.77","100%","0%","36","32","2,936","6","7","2","79","1","20","0","33","0","28","54","8","0","12","13","0","0","20","26","7","15","0","0","0","37","889"
"*038ze*","Alex Iwobi","FUL","M","15","STONKS","MCI 2<br/>@FUL 0 F","419.41","11.04","83%","+7%","38","35","2,971","9","6","1","59","0","29","0","25","0","40","18","1","0","25","14","0","0","28","48","1","7","0","0","0","45","375"
"*03srg*","Trent Alexander-Arnold","LIV","D","16","Laeka B","CRY 1<br/>@LIV 1 F","409.87","12.42","0%","0%","33","28","2,356","3","6","3","53","1","8","2","50","0","15","9","5","0","26","31","1","0","48","17","9","3","0","0","0","25","929"
"*03vlj*","Virgil van Dijk","LIV","D","17","CC FC","CRY 1<br/>@LIV 1 F","409.17","11.06","100%","0%","37","37","3,330","3","1","0","12","0","8","0","20","1","5","13","5","0","0","56","4","0","190","3","16","119","0","0","0","38","1,260"
"*06ex4*","Josko Gvardiol","MCI","D","18","Bobbo","MCI 2<br/>@FUL 0 F","408.52","11.04","67%","+21%","37","36","3,276","5","0","0","26","0","12","1","39","1","16","27","2","0","3","44","3","1","111","25","20","54","0","0","0","41","1,164"
