"Standings"
"Rk","Team","W","D","L","Points","Win%","Div","WW","FPtsF","FPtsA","Streak"
"1","3-Young Munoz $$","28","0","10","84",".737","28-10-0","","4,512.166","3,599.851","3 (W)"
"2","3-Onana What's my name","28","0","10","84",".737","28-10-0","","4,080.485","3,349.924","1 (L)"
"3","1-Tim's Team","27","0","11","81",".711","27-11-0","","4,576.52","4,030.824","1 (L)"
"4","2-Rainy Night at Stoke","27","0","11","81",".711","27-11-0","","4,555.312","3,691.613","1 (L)"
"5","1-The Madd Hatters","25","0","13","75",".658","25-13-0","","4,755.605","4,080.419","2 (W)"
"6","1-Cruel Summerville","25","0","13","75",".658","25-13-0","","4,358.378","3,977.647","1 (W)"
"7","2-100 Virgils","24","0","14","72",".632","24-14-0","","4,249.994","3,688.481","1 (W)"
"8","2-Greek Prison XI","23","0","15","69",".605","23-15-0","","4,120.968","3,770.079","2 (W)"
"9","2-Diego Luna Fan Page","23","0","15","69",".605","23-15-0","","3,962.852","3,449.786","1 (W)"
"10","3-Bench Warmers FC","22","0","16","66",".579","22-16-0","","4,177.23","3,583.657","5 (W)"
"11","1-The Riesterer Bunny","22","0","16","66",".579","22-16-0","","4,160.369","3,924.119","1 (W)"
"12","3-Dijk in Diaz","22","0","16","66",".579","22-16-0","","3,869.324","3,493.481","1 (W)"
"13","3-Ajer & Big Justice","22","0","16","66",".579","22-16-0","","3,446.27","3,424.671","1 (L)"
"14","1-Morgan Rodgers Neighborhood","21","0","17","63",".553","21-17-0","","4,166.728","4,178.836","1 (W)"
"15","3-Down with the Thickness","21","0","17","63",".553","21-17-0","","3,642.601","3,746.071","1 (W)"
"16","1- Schärholder Value","20","0","18","60",".526","20-18-0","","4,328.606","4,057.696","3 (L)"
"17","2-McGinn and Tonic","20","0","18","60",".526","20-18-0","","3,950.917","3,914.276","2 (W)"
"18","1 - Law of Averages","20","0","18","60",".526","20-18-0","","3,876.918","4,036.791","1 (L)"
"19","1-Check Complete FC","19","0","19","57",".500","19-19-0","","3,865.195","3,898.655","2 (W)"
"20","2-Lads FC","19","0","19","57",".500","19-19-0","","3,688.732","4,021.767","1 (W)"
"21","2-Wild Boars United","19","0","19","57",".500","19-19-0","","3,614.586","3,688.268","4 (W)"
"22","1-Dirty little Slot","17","0","21","51",".447","17-21-0","","4,059.936","4,100.535","1 (L)"
"23","3- Mickey Mount Clubhouse","17","0","21","51",".447","17-21-0","","3,399.804","3,483.983","1 (W)"
"24","2-FC Bofa","16","0","22","48",".421","16-22-0","","3,846.151","3,989.975","1 (L)"
"25","2-Roy Kent's U8 Girls","16","0","22","48",".421","16-22-0","","3,331.69","3,909.185","3 (L)"
"26","3-Kelly’s Seagulls","16","0","22","48",".421","16-22-0","","3,242.304","3,544.505","1 (L)"
"27","2-Arteta's Angels","15","0","23","45",".395","15-23-0","","3,616.636","3,959.108","6 (L)"
"28","2-Reeces (broken to) Pieces","15","0","23","45",".395","15-23-0","","3,438.227","3,554.842","1 (L)"
"29","3- if u lose 2 me, that is embarrassing","14","0","24","42",".368","14-24-0","","3,390.99","3,805.961","5 (L)"
"30","1-Diamond Dogs","13","0","25","39",".342","13-25-0","","3,651.909","4,233.167","1 (W)"
"31","3-Hakuna Mateta","13","0","25","39",".342","13-25-0","","3,081.008","3,704.78","2 (W)"
"32","3-Shaq Moore Fan SC","13","0","25","39",".342","13-25-0","","2,952.13","3,495.37","9 (L)"
"33","1-Mateta’s Muppets","12","0","26","36",".316","12-26-0","","3,881.776","4,336.009","1 (L)"
"34","3- Ornaldo Perfect Brothers & Sisters","12","0","26","36",".316","12-26-0","","3,235.593","3,797.651","2 (L)"
"35","2-good kev, m.A.A.d eze","11","0","27","33",".289","11-27-0","","3,264.013","4,002.698","17 (L)"
"36","1-john lim","7","0","31","21",".184","7-31-0","","3,591.827","4,419.069","13 (L)"

"Gameweek 38"
"Away","FPts","Home","FPts"
"2-100 Virgils","80.744","2-Reeces (broken to) Pieces","59.06"
"2-Rainy Night at Stoke","99.499","2-Greek Prison XI","121.485"
"2-good kev, m.A.A.d eze","0","2-Wild Boars United","65.737"
"2-Arteta's Angels","75.476","2-Lads FC","79.999"
"2-Roy Kent's U8 Girls","55.499","2-McGinn and Tonic","143.488"
"2-FC Bofa","82.486","2-Diego Luna Fan Page","84.468"
"1- Schärholder Value","99.188","1-Cruel Summerville","154.558"
"1-Dirty little Slot","66.744","1-Diamond Dogs","73.247"
"1 - Law of Averages","83.963","1-Check Complete FC","107.249"
"1-Mateta’s Muppets","103.221","1-Morgan Rodgers Neighborhood","107.991"
"1-john lim","88.491","1-The Madd Hatters","116.75"
"1-Tim's Team","69.628","1-The Riesterer Bunny","82.493"
"3-Young Munoz $$","84.243","3- if u lose 2 me, that is embarrassing","0"
"3-Down with the Thickness","72.988","3- Ornaldo Perfect Brothers & Sisters","68.244"
"3-Kelly’s Seagulls","0","3- Mickey Mount Clubhouse","84.503"
"3-Hakuna Mateta","76.977","3-Ajer & Big Justice","73.248"
"3-Onana What's my name","124.991","3-Bench Warmers FC","165.491"
"3-Shaq Moore Fan SC","0","3-Dijk in Diaz","97.469"

"Gameweek 37"
"Away","FPts","Home","FPts"
"2-Rainy Night at Stoke","119.992","2-100 Virgils","113.71"
"2-Reeces (broken to) Pieces","41.5","2-good kev, m.A.A.d eze","0"
"2-Greek Prison XI","104.494","2-Arteta's Angels","66"
"2-Wild Boars United","94.313","2-Roy Kent's U8 Girls","64.507"
"2-Lads FC","32.5","2-FC Bofa","107.727"
"2-McGinn and Tonic","95.395","2-Diego Luna Fan Page","75.989"
"1-Dirty little Slot","106","1- Schärholder Value","83.986"
"1-Cruel Summerville","98.75","1 - Law of Averages","103.732"
"1-Diamond Dogs","81.249","1-Mateta’s Muppets","89.494"
"1-Check Complete FC","76.467","1-john lim","65.048"
"1-Morgan Rodgers Neighborhood","79.489","1-Tim's Team","104.765"
"1-The Madd Hatters","114.177","1-The Riesterer Bunny","91.25"
"3-Down with the Thickness","97.743","3-Young Munoz $$","102.236"
"3- if u lose 2 me, that is embarrassing","0","3-Kelly’s Seagulls","60.476"
"3- Ornaldo Perfect Brothers & Sisters","59.744","3-Hakuna Mateta","65.485"
"3- Mickey Mount Clubhouse","63.195","3-Onana What's my name","70.862"
"3-Ajer & Big Justice","50.606","3-Shaq Moore Fan SC","0"
"3-Bench Warmers FC","84.742","3-Dijk in Diaz","48.749"

