"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*061vq*","Erling Haaland","MCI","F","11","Noah B","MCI 2<br/>@FUL 0 F","39.5","39.5","100%","0%","1","1","90","3","0","0","1","0","4","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*03aqp*","Mohamed Salah","LIV","F","1","Will","CRY 1<br/>@LIV 1 F","34.5","34.5","97%","0%","1","1","90","1","2","0","3","0","1","0","1","0","2","2","0","0","1","1","0","0","1","2","0","0","0","0","0","0","90"
"*05trb*","Bryan Mbeumo","BRF","F","3","RyRob","BRF 1<br/>@WOL 1 F","32.75","32.75","100%","0%","1","1","90","2","0","0","3","0","3","0","0","0","0","1","1","0","1","1","0","0","0","1","1","2","0","0","0","1","0"
"*049tq*","Dominic Calvert-Lewin","EVE","F","227","Brad","EVE 1<br/>@NEW 0 F","23.75","23.75","82%","0%","1","1","87","1","1","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","8","0","0","0","1","0"
"*05uor*","Yoane Wissa","BRF","F","25","Laeka B","BRF 1<br/>@WOL 1 F","22.25","22.25","45%","-1%","1","1","90","1","0","0","3","0","2","0","1","0","1","3","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*05yld*","Luis Diaz","LIV","F","13","Bobbo","CRY 1<br/>@LIV 1 F","22","22","5%","0%","1","1","65","2","0","0","0","0","2","0","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","65"
"*04spq*","Jack Harrison","EVE","M","175","Brad","EVE 1<br/>@NEW 0 F","22","22","3%","0%","1","1","90","0","0","1","5","0","1","0","1","0","1","2","0","0","1","2","0","0","1","2","0","1","0","0","0","3","0"
"*06msd*","Yukinari Sugawara","SOU","D","292","j.l.","ARS 2<br/>@SOU 1 F","21.75","21.75","0%","0%","1","1","90","1","0","0","2","0","2","0","1","1","0","1","0","0","0","2","0","0","3","0","1","1","0","0","0","3","0"
"*04p0d*","Dwight McNeil","EVE","M","148","FA","EVE 1<br/>@NEW 0 F","21.5","21.5","40%","-5%","1","1","90","0","1","0","6","0","1","0","0","0","3","2","0","0","0","0","0","0","0","2","0","0","0","0","0","3","0"
"*062h9*","Luis Sinisterra","BOU","F","354","FA","LEI 0<br/>@BOU 2 F","21","21","0%","0%","1","0","24","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"*05nil*","Leif Davis","IPS","D","143","thomas","WHU 3<br/>@IPS 1 F","20","20","0%","0%","1","1","90","0","1","0","3","0","0","0","2","0","0","2","0","0","0","0","0","0","2","2","0","1","0","0","0","1","0"
"*04y92*","Bukayo Saka","ARS","M","37","j.l.","ARS 2<br/>@SOU 1 F","19.75","19.75","100%","0%","1","1","90","0","1","0","1","0","3","0","1","0","2","2","0","0","0","0","0","0","0","4","0","1","0","0","0","1","0"
"*05l8q*","Cole Palmer","CHE","M","2","thomas","CHE 1<br/>@NOT 0 F","19.5","19.5","100%","0%","1","1","90","0","1","0","5","0","1","0","0","0","1","1","1","0","1","1","0","0","1","1","0","0","0","0","0","1","0"
"*05o6h*","Kai Havertz","ARS","F","154","FA","ARS 2<br/>@SOU 1 F","19.5","19.5","76%","-1%","1","1","90","1","0","0","2","0","2","0","0","0","2","1","0","0","1","0","0","0","2","0","1","4","0","0","0","1","0"
"*02m5b*","Chris Wood","NOT","F","36","TRB","CHE 1<br/>@NOT 0 F","18.75","18.75","63%","-7%","1","1","90","1","0","0","0","0","3","0","0","0","2","3","0","0","0","1","0","0","1","1","0","2","0","0","0","1","0"
"*03u2b*","Adama Traore","FUL","F","111","Will","MCI 2<br/>@FUL 0 F","18.5","18.5","9%","0%","1","1","90","1","0","0","1","0","1","0","0","0","2","2","1","0","2","0","0","0","0","5","0","1","0","0","0","1","0"
"*05g2o*","Joao Pedro","BHA","F","85","CC FC","BHA 4<br/>@TOT 1 F","18","18","100%","0%","1","1","90","1","0","0","1","0","1","0","0","0","1","3","1","0","1","0","0","0","2","4","0","2","0","0","0","1","0"
"*04fk6*","Bernardo Silva","MCI","M","72","TRB","MCI 2<br/>@FUL 0 F","18","18","94%","0%","1","1","90","0","1","0","4","0","1","0","0","0","2","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0"
"*04tm0*","Lucas Digne","AVL","D","106","FA","AVL 0<br/>@MUN 2 F","18","18","60%","-3%","1","1","90","0","1","0","1","0","0","0","3","0","1","1","0","0","2","2","0","0","3","0","0","0","0","0","0","1","0"
"*04io3*","Mario Lemina","WOL","M","210","FA","BRF 1<br/>@WOL 1 F","18","18","0%","0%","1","1","90","0","1","0","1","0","0","0","5","0","0","2","1","0","0","2","1","0","2","1","0","0","0","0","0","1","0"
"*06clt*","Justin Kluivert","BOU","M","34","Noah B","LEI 0<br/>@BOU 2 F","17.75","17.75","35%","+1%","1","1","90","0","1","0","3","0","0","0","1","0","0","1","0","0","1","0","0","0","4","1","0","2","0","0","0","2","0"
"*05oig*","Liam Delap","IPS","F","105","CC FC","WHU 3<br/>@IPS 1 F","17.75","17.75","32%","0%","1","1","80","1","0","0","1","0","2","0","1","0","3","3","0","0","0","0","0","0","2","1","0","1","0","0","0","1","0"
"*02oox*","Kevin De Bruyne","MCI","M","92","TRB","MCI 2<br/>@FUL 0 F","17.5","17.5","0%","0%","1","1","87","0","0","0","6","0","2","1","0","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","1","0"
"*03vlj*","Virgil van Dijk","LIV","D","17","CC FC","CRY 1<br/>@LIV 1 F","17.49","17.49","100%","0%","1","1","90","0","0","0","1","0","0","0","0","0","0","0","1","0","0","3","0","0","11","0","0","5","0","0","0","0","90"
"*05nt6*","Eberechi Eze","CRY","M","12","Laeka B","CRY 1<br/>@LIV 1 F","17.25","17.25","98%","0%","1","1","90","1","0","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","0","2","0","0","0","0","0","1","0"
"*062x7*","Rico Lewis","MCI","D","261","FA","MCI 2<br/>@FUL 0 F","17","17","6%","0%","1","1","90","0","1","0","1","0","0","0","3","0","0","2","0","0","0","1","1","0","5","0","0","0","0","0","0","1","0"
"*068y0*","Antoine Semenyo","BOU","F","10","STONKS","LEI 0<br/>@BOU 2 F","16.75","16.75","100%","0%","1","1","90","1","0","0","1","0","2","0","1","0","1","1","1","0","1","0","0","0","1","1","0","1","0","0","0","2","0"
