year,week,t1_team,t2_team,t1_score,t2_score
2022,1,1-Drafted@3am FC,1-Jesus live at Red Rocks,82.21,92.19
2022,1,1- KFFC,1-Mystery Box U0s,101.48,91.75
2022,1,1-Commissioner Gordon & the Tark Knight,1-Autodraft Relegated FC,146.25,106.38
2022,1,1-Leo Gerard U3s Team,1-Vecna's Møst Hated XI,108.97,108.72
2022,1,1-TAAp in Merchants,1-Midtable Merchant,127.38,83.25
2022,1,1-john lim,1-Roy Kent's U8 Girls,83.5,132.64
2022,1,2-Campbell's FC,2-FC Bofa,115.29,123.98
2022,1,2-Diamond Dogs,2-We Don’t Talk About Bruno,79.25,106.75
2022,1,2-Diego Luna Fan Page,2-FC Becky-Lowe-Na,116.97,136.47
2022,1,2-Greek Prison XI,2-100 Virgils,123.37,84.84
2022,1,2-Lads FC,2-Lets Ride,70.31,108.24
2022,1,2-Soccer F.C,2-Kyle Walker’s Party Planners,54.48,97.98
2022,2,1-Jesus live at Red Rocks,1- KFFC,116.57,68.55
2022,2,1-Autodraft Relegated FC,1-TAAp in Merchants,71.1,83.0
2022,2,1-Midtable Merchant,1-Mystery Box U0s,101.0,135.75
2022,2,1-Roy Kent's U8 Girls,1-Leo Gerard U3s Team,63.5,126.5
2022,2,1-Vecna's Møst Hated XI,1-Drafted@3am FC,135.63,107.96
2022,2,1-john lim,1-Commissioner Gordon & the Tark Knight,106.28,103.07
2022,2,2-FC Becky-Lowe-Na,2-Soccer F.C,105.71,80.85
2022,2,2-FC Bofa,2-Diamond Dogs,93.57,112.25
2022,2,2-Kyle Walker’s Party Planners,2-Greek Prison XI,90.0,92.82
2022,2,2-Lads FC,2-Campbell's FC,82.16,94.25
2022,2,2-Lets Ride,2-Diego Luna Fan Page,128.01,122.0
2022,2,2-We Don’t Talk About Bruno,2-100 Virgils,56.25,94.75
2022,3,1-Midtable Merchant,1-Jesus live at Red Rocks,94.07,142.25
2022,3,1- KFFC,1-Vecna's Møst Hated XI,93.94,136.91
2022,3,1-Commissioner Gordon & the Tark Knight,1-Roy Kent's U8 Girls,155.81,80.5
2022,3,1-Drafted@3am FC,1-Leo Gerard U3s Team,126.56,94.25
2022,3,1-Mystery Box U0s,1-Autodraft Relegated FC,107.5,82.75
2022,3,1-TAAp in Merchants,1-john lim,123.58,97.94
2022,3,2-100 Virgils,2-FC Bofa,92.75,137.83
